Age ,Asking Price,Regression Model,,Miles,Asking Price,Regression Model
1,19500,18439.8741479791,,11200,19500,18439.8741479791
2,11994,13703.9594105896,,16000,15850,16976.1266579349
2,12700,16859.0370361135,,18344,16995,16921.2350432251
2,15850,16976.1266579349,,21000,12700,16859.0370361135
2,15900,16812.2011873849,,23000,15900,16812.2011873849
2,15995,16107.4855894904,,38800,11994,13703.9594105896
2,16995,16329.9558709512,,40950,19665,15040.5079919505
2,16995,16921.2350432251,,42143,14995,15012.5704081839
3,12950,14922.2474739108,,43593,16995,16329.9558709512
3,14995,15012.5704081839,,46000,12950,14922.2474739108
3,16500,14847.4272055669,,49195,16500,14847.4272055669
3,19665,15040.5079919505,,50149,13995,13473.7450526278
4,9880,10068.0019647086,,53093,15995,16107.4855894904
4,10900,11837.979617858,,54580,12880,10631.7416579301
4,12495,12540.5173487866,,70000,12000,11657.5343829768
4,12880,10631.7416579301,,71000,12000,8931.4335524215
4,12980,12145.4803826855,,72861,12995,11590.5357013706
4,13995,13473.7450526278,,76000,3200,3373.42245256939
5,12000,11657.5343829768,,78653,9880,10068.0019647086
5,12995,11590.5357013706,,78900,8000,10097.7734030392
5,12995,11244.2314358715,,80000,4600,4631.09220820777
6,8000,10097.7734030392,,87649,12995,11244.2314358715
6,10500,9673.90897204557,,90000,12495,12540.5173487866
7,2000,5279.8959303747,,91000,5850,5760.39215894469
7,5500,4811.53744308896,,94000,5500,7041.47983894736
7,12000,8931.4335524215,,96654,6000,6979.32866768454
8,4600,4631.09220820777,,97000,10500,9673.90897204557
8,4900,6432.6138054759,,103000,4000,5479.37706657324
8,5500,7041.47983894736,,106869,12980,12145.4803826855
8,6000,6979.32866768454,,110000,2000,5279.8959303747
9,3200,3373.42245256939,,120000,4900,6432.6138054759
9,4000,5479.37706657324,,120000,10900,11837.979617858
9,5850,5760.39215894469,,128000,3250,804.348932530934
10,3250,804.348932530934,,130000,5500,4811.53744308896
