"TOTAL  DISBURSEMENTS  FOR  HIGHWAYS,  ALL  UNITS  OF  GOVERNMENT  -  1992  /1",,,,,,,,,,,,,
"COMPILED  FROM  REPORTS  OF  FEDERAL,",,,,,,,,,,,,,"""TABLE  HF-2"
STATE  AND  LOCAL  AUTHORITIES,,(THOUSANDS  OF  DOLLARS),,,,,,,,,,,"""SEPTEMBER 1994"
,CAPITAL  OUTLAY,,,,MAINTENANCE AND SERVICES,,,,ADMIN-,HIGHWAY,,,
,,,,,,,,,ISTRATION,LAW,,BOND,
,STATE,LOCALLY,FEDERAL,,STATE,LOCALLY,FEDERAL,,AND,ENFORCEMENT,INTEREST,RETIREMENT /3,TOTAL
STATE,ADMINISTERED,ADMINISTERED,ROADS AND,TOTAL  /2,ADMINISTERED,ADMINISTERED,ROADS AND,TOTAL,MISCEL-,AND,,,DISBURSEMENTS
,HIGHWAYS,ROADS,UNCLASSIFIED,,HIGHWAYS,ROADS,UNCLASSIFIED,,LANEOUS,SAFETY,,,
Montana ,191070,57652,9217,257939,42087,21356,4178,67621,16843,19424,13958,1723,377508
Nebraska,244117,192494,34598,471209,51993,126578,444,179015,43639,42934,15349,27120,779266
Nevada,168487,10557,2640,181684,58785,14637,1048,74470,23360,24049,12962,16786,333311
New  Hampshire,86815,37694,0,124509,98469,66752,106,165327,96270,46005,21722,4533,458366
New  Jersey,1250419,100871,0,1351290,358862,342765,0,701627,381121,254093,238792,220850,3147773
New  Mexico,245616,38902,6033,290551,63812,38326,5674,107812,65312,26275,2532,2014,494496
New  York,1172069,1220310,176,2392555,606776,1839465,200,2446441,616785,283252,586457,409463,6734953
North  Carolina,772594,127328,10329,910251,362139,86571,1044,449754,127094,203642,28870,17703,1737314
North  Dakota,93070,45587,15,138672,34178,50244,2185,86607,20627,15228,6931,13499,281564
Ohio,679950,401989,211,1082150,460687,504058,23,964768,335689,213155,51708,109564,2757034
Oklahoma,320609,113422,4000,438031,88492,117914,17,206423,191811,41384,56248,85638,1019535
Oregon,335881,201205,10798,547884,120773,168155,7523,296451,64501,73433,14067,24162,1020498
Pennsylvania,1223271,125258,268,1348797,764351,744656,85,1509092,152494,443935,190151,225189,3869658
Rhode  Island,136323,4040,0,140363,23710,17136,6,40852,9798,28023,14684,19770,253490
South  Carolina,332967,31128,28,364123,156266,43893,40,200199,52696,86404,917,824,705163
South  Dakota,159816,68946,1516,230278,33371,68300,3757,105428,21403,30636,843,1813,390401
Tennessee,613158,106790,5777,725725,192392,225319,70,417781,84136,59239,6057,16894,1309832
Texas,1701015,578592,3282,2282889,564131,898897,67,1463095,473048,804375,351868,246617,5621892
Utah,182428,68600,5782,256810,59893,72110,1471,133474,40831,33745,0,0,464860
Vermont,87148,36942,0,124090,36024,54112,15,90151,15067,21072,2015,5990,258385
Virginia,649972,202473,8895,861340,468402,187345,30,655777,143235,168008,99058,190483,2117901
Washington,501683,332102,3923,837708,193795,267382,2431,463608,239299,173064,72751,95899,1882329
West  Virginia,356770,13858,134,370762,161301,48540,41,209882,31528,38247,29209,41355,720983
Wisconsin,626822,384652,1,1011475,116788,423045,1569,541402,128447,261228,72021,135877,2150450
Wyoming,127015,34114,12506,173635,52018,34989,900,87907,24522,23896,187,1159,311306
Undistributed,0,0,3527,3527,0,0,20587,20587,422413,0,0,0,446527
Total,27143027,10946255,219878,38309160,8746806,13402999,73790,22223595,7718703,7088262,3620713,4588962,83549395
"      /1 Disbursements are classified by system on which expended, rather than by expending",,,,,,,,,,,,,
"agencies, e.g., capital outlay on local rural roads includes expenditures from Federal, State",,,,,,,"       /2  See Tables FA-5A, SF-4C and LGF-2 for right-of-way costs.",,,,,,
"and local funds.  Data includes estimates.  See Tables FA-5A, SF-21, and LGF-21 for details on",,,,,,,       /3  Excludes short-term notes and refunding bond issues.,,,,,,
highway disbursements by each level of government.,,,,,,,,,,,,,
