
ARIZONA	1987	7448.13	49026	22509.78	47251.17	114006	1.94E+08	9.07E+08	1.37E+08
ARIZONA	1988	7955.02	50630	23693.97	48932.84	114006	2.16E+08	1.07E+09	1.99E+08
CALIFORNIA	1969	42961.31	264621	128545.4	172791.9	163707	2.09E+08	1.11E+09	2.67E+08
CALIFORNIA	1970	44768.37	263933	132263.3	180864.3	163707	2.27E+08	1.25E+09	2.89E+08
CALIFORNIA	1971	46045.52	265600	134451.5	187587.9	163707	2.09E+08	1.18E+09	3.11E+08
CALIFORNIA	1972	47064.46	281159	135988.4	193535.8	163707	1.99E+08	1.08E+09	3.25E+08
CALIFORNIA	1973	47572.52	293735	136827.3	204096.4	163707	1.35E+08	9.88E+08	3.53E+08
CALIFORNIA	1974	47699.43	298408	138487.4	213216.8	163707	1.12E+08	9.93E+08	3.75E+08
CALIFORNIA	1975	47568.65	304518	139514.2	221958.9	163707	93261000	1.06E+09	4.68E+08
CALIFORNIA	1976	47137.99	320160	139910.2	226544.3	163707	38338000	9.78E+08	4.79E+08
CALIFORNIA	1977	46472.4	338040	139408.9	233936.4	163707	1.53E+08	1.01E+09	5.18E+08
CALIFORNIA	1978	46132.47	359603	140217.3	243776.3	163707	96455000	9.58E+08	5.97E+08
CALIFORNIA	1979	45597.88	374928	139777	255306	163707	93843000	1.09E+09	6.31E+08
CALIFORNIA	1980	45042.91	380221	139662.4	286402.6	163707	1.14E+08	1.29E+09	6.72E+08
CALIFORNIA	1981	44490.48	378436	139232.4	297844	163707	1.30E+08	1.54E+09	6.66E+08
CALIFORNIA	1982	44027.17	372541	138535.7	305210.2	163707	1.36E+08	1.20E+09	1.07E+09
CALIFORNIA	1983	43826.52	390528	138101.6	312008.6	163707	1.67E+08	1.26E+09	1.12E+09
CALIFORNIA	1984	43566.26	420525	138170.9	324335.2	163707	2.08E+08	1.56E+09	1.22E+09
CALIFORNIA	1985	43350.54	444082	139042.7	363779.7	163707	2.71E+08	1.77E+09	1.29E+09
