State	CAPURBINT	CAPURBLOC	CAPURBTOT	MNTURBINT	MNTURBLOC	MNTURBTOT	CAPRURINT	CAPRURLOC	CAPRURTOT	MNTRURINT	MNTRURLOC	MNTRURTOT	CAPTOTINT	CAPTOTLOC	CAPTOTTOT	MNTTOTINT	MNTTOTLOC	MNTTOTTOT	MILRURINT	MILRURLOC	MILRURTOT	MILURBINT	MILURBFWY	MILURBLOC	MILURBTOT	URBMIL+4	URBMIL-4	RURMIL+4	RURMIL-4	RURPASSVEH	RURTRUSING	RURTRUCOM	URBPASSVEH	URBTRUSING	URBTRUCOMB	ALASKA	NEWYORK	CALIFORNIA	SOUTHEAST	MIDWEST	NORTHEAST	VMTRURINT	VMTRURLOC	VMTRURTOT	VMTURBINT	VMTURBFWY	VMTURBLOC	VMTURBTOT	CSTADMHWY	CLOCADMRD	CFEDROAD	CTOTAL	MSTADMHWY	MLOCADMRD	MREDROAD	MTOTAL	ADM_MISC	LAW_SAFETY	INTEREST	BONDRETIRE	TOTALDISB
Alabama	125348	77005	202353	7008	87510	94518	29484	238395	267879	7412	55938	63350	154832	315400	470232	14420	143448	157868	602	72226	72828	297	21	91891	92209	43	254	0	602	56.0	16.9	27.1	72.7	14.3	13.0	0	0	0	1	0	0	4442	18361	22803	4208	326	18425	22959	"372,518"	"42,839"	974	"416,331"	"134,450"	"299,897"	14	"434,361"	"72,558"	"57,359"	"11,128"	"20,436"	"1,012,173"
Alaska	35459	71217	106676	1369	19907	21276	50659	84665	135324	3744	8380	12124	86118	155882	242000	5113	28287	33400	1003	11104	12107	54	0	13795	13849	10	44	0	1003	57.9	39.7	2.4	85.1	14.2	0.7	1	0	0	0	0	0	677	1328	2005	450	0	1386	1836	"213,000"	"60,888"	"4,942"	"278,830"	"121,900"	"34,166"	831	"156,897"	"30,088"	"40,116"	"13,411"	"21,623"	"540,965"
Arizona	48078	229257	277335	#VALUE!	#VALUE!	#VALUE!	66574	136890	203464	NA	#VALUE!	NA	114652	366147	480799	NA	#VALUE!	68839	987	38436	39423	202	70	55491	55763	54	148	0	987	57.7	26.0	16.3	58.7	33.2	8.1	0	0	0	0	0	0	5110	8678	13788	3003	1344	16912	21259	"488,274"	"205,236"	"19,046"	"712,556"	"68,907"	"84,516"	"10,641"	"164,064"	"70,527"	"78,446"	"154,305"	"359,239"	"1,539,137"
Arkansas	6623	132474	139097	1387	24221	25608	26357	196878	223235	7154	60650	67804	32980	329352	362332	8541	84871	93412	412	69185	69597	131	94	76967	77192	45	86	3	409	56.5	13.4	30.1	68.8	14.8	16.4	0	0	0	1	0	0	3140	11908	15048	1758	717	5558	8033	"325,826"	"72,239"	868	"398,933"	"113,232"	"130,379"	310	"243,921"	"42,524"	"45,163"	661	449	"731,651"
California	513828	881208	1395036	51921	80647	132568	61578	678709	740287	44901	164991	209892	575406	1559917	2135323	96822	245638	342460	1356	86784	88140	1067	1393	166741	169201	940	127	286	1070	69.3	17.2	13.5	86.2	11.0	2.8	0	0	1	0	0	0	14322	37875	52197	52566	42332	115453	210351	"2,089,004"	"1,700,434"	"15,983"	"3,805,421"	"511,977"	"1,474,922"	"1,685"	"1,988,584"	"1,046,908"	"1,182,559"	"58,263"	"35,336"	"8,117,071"
Colorado	92615	88050	180665	7308	36948	44256	80658	79953	160611	18067	62885	80952	173273	168003	341276	25375	99833	125208	768	65050	65818	186	216	78319	78721	62	124	21	747	79.3	5.3	15.4	92.7	3.9	3.4	0	0	0	0	0	0	3661	8913	12574	3793	2406	12035	18234	"386,491"	"179,430"	"3,453"	"569,374"	"128,060"	"236,345"	921	"365,326"	"52,531"	"96,886"	"43,258"	"63,757"	"1,191,132"
Connecticut	183530	329367	512897	3246	26674	29920	30305	44920	75225	1366	18028	19394	213835	374287	588122	4612	44702	49314	101	8713	8814	242	197	19918	20357	168	74	22	79	79.5	13.1	7.4	83.2	12.0	4.8	0	0	0	0	0	1	1357	4711	6068	6758	2623	11010	20391	"691,154"	"70,521"	0	"761,675"	"60,753"	"156,338"	0	"217,091"	"75,613"	"17,130"	"168,579"	"206,380"	"1,446,468"
Delaware	22297	87042	109339	3083	25363	28446	0	96196	96196	0	673	673	22297	183238	205535	3083	26036	29119	0	3675	3675	41	9	5494	5544	30	11	0	0	100.0	0.0	0.0	63.5	25.2	11.3	0	0	0	1	0	0	0	2685	2685	989	38	3180	4207	"193,959"	"3,375"	"14,559"	"211,893"	"55,562"	"8,148"	0	"63,710"	"50,696"	"36,496"	"46,059"	"26,331"	"435,185"
Dist.  of  Col.	21573	86621	108194	1848	26106	27954	0	0	0	0	0	0	21573	86621	108194	1848	26106	27954	0	0	0	14	19	1074	1107	10	4	0	0	100.0	0.0	0.0	97.1	2.6	0.3	0	0	0	1	0	0	0	0	0	469	393	2700	3562	0	"101,042"	"5,176"	"106,218"	0	"28,524"	12	"28,536"	"19,715"	0	"73,135"	"46,061"	"273,665"
Florida	225241	864268	1089509	3581	111397	114978	94234	501226	595460	8772	73647	82419	319475	1365494	1684969	12353	185044	197397	1019	62611	63630	424	284	112100	112808	205	219	100	919	74.8	11.9	13.3	82.3	11.7	6.0	0	0	0	1	0	0	10183	24818	35001	12034	4319	68514	84867	"1,440,203"	"681,642"	682	"2,122,527"	"282,812"	"366,381"	312	"649,505"	"428,351"	"271,756"	"232,516"	"153,681"	"3,858,336"
Georgia	169131	255256	424387	6644	44293	50937	56115	257194	313309	6110	106470	112580	225246	512450	737696	12754	150763	163517	809	83796	84605	434	167	110278	110879	271	163	115	694	61.1	19.3	19.6	66.7	24.9	8.4	0	0	0	1	0	0	8419	23753	32172	11889	1646	32197	45732	"699,149"	"174,244"	724	"874,117"	"185,909"	"260,614"	15	"446,538"	"113,627"	"127,181"	"46,645"	"300,966"	"1,909,074"
Hawaii	191402	39912	231314	1960	4246	6206	20447	51985	72432	700	8175	8875	211849	91897	303746	2660	12421	15081	0	2307	2307	44	53	4009	4106	38	6	0	0	100.0	0.0	0.0	79.3	20.1	0.6	0	0	0	0	0	0	0	2148	2148	1533	804	3581	5918	"316,797"	"23,410"	263	"340,470"	"19,793"	"50,294"	0	"70,087"	"38,613"	"16,365"	"18,968"	"22,637"	"507,140"
Idaho	762	7891	8653	346	824	1170	41236	75044	116280	2307	17980	20287	41998	82935	124933	2653	18804	21457	532	54887	55419	79	0	58756	58835	2	77	0	532	47.8	31.5	20.7	61.0	31.3	7.7	0	0	0	0	0	0	1667	5540	7207	741	0	2816	3557	"111,528"	"42,830"	"6,609"	"160,967"	"49,296"	"84,059"	"1,212"	"134,567"	"43,930"	"14,397"	341	545	"354,747"
Illinois	365359	334974	700333	36813	124266	161079	212843	556580	769423	21476	74427	95903	578202	891554	1469756	58289	198693	256982	1421	100363	101784	630	80	136255	136965	311	319	28	1393	64.7	12.8	22.5	78.1	14.9	7.0	0	0	0	0	1	0	8428	19826	28254	14447	1047	43894	59388	"1,443,338"	"507,931"	56	"1,951,325"	"291,073"	"701,587"	490	"993,150"	"260,011"	"126,439"	"129,070"	"115,485"	"3,575,480"
Indiana	92677	234936	327613	8989	26980	35969	130626	177392	308018	38619	114821	153440	223303	412328	635631	47608	141801	189409	825	72287	73112	313	135	91926	92374	127	186	37	788	59.2	16.3	24.5	68.7	16.8	14.5	0	0	0	0	1	0	6646	22606	29252	5537	774	21509	27820	"567,006"	"218,588"	0	"785,594"	"201,342"	"214,625"	510	"416,477"	"195,916"	"41,838"	"52,231"	"12,687"	"1,504,743"
Iowa	43819	76501	120320	3325	5805	9130	72276	220044	292320	12509	37006	49515	116095	296545	412640	15834	42811	58645	636	102854	103490	147	0	112561	112708	45	102	30	606	68.5	3.3	28.2	81.8	2.9	15.3	0	0	0	0	1	0	3406	11958	15364	1554	0	7008	8562	"400,691"	"225,814"	9	"626,514"	"100,801"	"317,012"	25	"417,838"	"95,273"	"66,895"	"23,439"	"53,258"	"1,283,217"
Kansas	42397	72203	114600	14987	16041	31028	34629	284369	318998	17531	41016	58547	77026	356572	433598	32518	57057	89575	698	122978	123676	173	128	132955	133256	73	100	0	698	62.8	18.0	19.2	69.1	25.5	5.4	0	0	0	0	1	0	2573	10317	12890	2233	905	8135	11273	"352,267"	"112,971"	2	"465,240"	"81,227"	"195,447"	490	"277,164"	"183,109"	"275,074"	"44,942"	"142,628"	"1,388,157"
Kentucky	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	"""NA"	#VALUE!	NA	NA	#VALUE!	NA	"""NA"	#VALUE!	NA	NA	#VALUE!	NA	540	61953	62493	221	93	72318	72632	85	136	27	513	55.1	23.9	21.0	68.0	25.4	6.6	0	0	0	1	0	0	4737	16656	21393	4384	559	11726	16669	"683,377"	"157,425"	"2,502"	"843,304"	"152,045"	"111,117"	41	"263,203"	"88,047"	"109,820"	"103,564"	"143,452"	"1,551,390"
Louisiana	94588	238373	332961	2688	7909	10597	56281	209593	265874	1136	59761	60897	150869	447966	598835	3824	67670	71494	608	45225	45833	263	45	59291	59599	87	176	7	601	57.0	27.1	15.9	63.8	25.0	11.2	0	0	0	1	0	0	4197	12860	17057	3847	488	12463	16798	"650,766"	"154,691"	104	"805,561"	"59,191"	"194,618"	210	"254,019"	"85,661"	"116,970"	"107,470"	"107,504"	"1,477,185"
Maine	4420	50380	54800	363	7371	7734	22864	60801	83665	18472	50372	68844	27284	111181	138465	18835	57743	76578	312	19615	19927	54	17	22439	22510	1	53	13	299	62.5	26.1	11.4	74.7	22.0	3.3	0	0	0	0	0	1	1725	7239	8964	480	95	2612	3187	"143,850"	"15,420"	446	"159,716"	"114,900"	"98,260"	153	"213,313"	"17,086"	"42,300"	"12,015"	"15,933"	"460,363"
Maryland	79085	154176	233261	6980	84597	91577	113671	124701	238372	6588	2582	9170	192756	278877	471633	13568	87179	100747	227	15415	15642	255	224	28834	29313	187	68	123	104	63.7	17.2	19.1	65.3	33.5	1.2	0	0	0	1	0	0	2913	9889	12802	9086	3406	16602	29094	"511,583"	"232,055"	"14,907"	"758,545"	"149,131"	"200,106"	0	"349,237"	"108,364"	"161,614"	"81,688"	"330,508"	"1,789,956"
Massachusetts	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	NA	#VALUE!	NA	NA	#VALUE!	NA	NA	#VALUE!	NA	NA	#VALUE!	NA	162	10765	10927	403	199	29961	30563	323	80	59	103	74.8	15.5	9.7	85.4	11.0	3.6	0	0	0	0	0	1	2176	6615	8791	10733	4490	23334	38557	"871,763"	"141,997"	40	"1,013,800"	"146,150"	"244,043"	0	"390,193"	"214,814"	"177,051"	"174,108"	"245,634"	"2,215,600"
Michigan	261891	64799	326690	44295	9639	53934	71861	162943	234804	13758	26571	40329	333752	227742	561494	58053	36210	94263	741	88744	89485	499	221	116939	117659	301	198	92	649	72.2	18.6	9.2	72.7	19.5	7.8	0	0	0	0	1	0	5614	25620	31234	12601	3965	36419	52985	"546,839"	"276,700"	31	"823,570"	"138,763"	"642,977"	300	"782,040"	"205,891"	"201,637"	"35,674"	"44,873"	"2,093,685"
Minnesota	75321	372047	447368	6115	34480	40595	14920	145839	160759	5342	51908	57250	90241	517886	608127	11457	86388	97845	681	114392	115073	233	130	129596	129959	106	127	20	661	86.4	2.7	10.9	93.1	2.5	4.4	0	0	0	0	1	0	3201	16769	19970	5320	2216	13656	21192	"587,390"	"689,936"	163	"1,277,489"	"144,894"	"395,181"	"1,508"	"541,583"	"146,484"	"180,927"	"56,605"	"127,591"	"2,330,679"
Mississippi	29423	91401	120824	770	2241	3011	33549	279203	312752	3231	31588	34819	62972	370604	433576	4001	33829	37830	558	64372	64930	127	40	72667	72834	0	127	0	558	63.9	17.2	18.9	68.1	16.3	15.6	0	0	0	1	0	0	2951	14570	17521	1383	185	7150	8718	"332,638"	"119,737"	"3,341"	"455,716"	"54,704"	"188,186"	591	"243,481"	"33,114"	"64,869"	"31,566"	"57,622"	"886,368"
Missouri	77983	107018	185001	22339	13394	35733	60904	254227	315131	16829	103110	119939	138887	361245	500132	39168	116504	155672	812	104825	105637	366	276	121145	121787	210	156	5	807	63.7	12.0	24.3	80.2	14.6	5.2	0	0	0	0	1	0	5504	19464	24968	8497	2326	17463	28286	"464,531"	"199,354"	"1,342"	"665,227"	"210,439"	"222,712"	8	"433,159"	"177,283"	"124,228"	"11,715"	"19,421"	"1,431,033"
Montana 	4706	35328	40034	485	2123	2608	33598	116717	150315	3520	12273	15793	38304	152045	190349	4005	14396	18401	1137	66251	67388	53	0	69715	69768	0	53	0	1137	53.1	31.6	15.3	67.5	22.9	9.6	0	0	0	0	0	0	1928	4574	6502	184	0	1839	2023	"191,070"	"57,652"	"9,217"	"257,939"	"42,087"	"21,356"	"4,178"	"67,621"	"16,843"	"19,424"	"13,958"	"1,723"	"377,508"
Nebraska	25688	33785	59473	469	7711	8180	35102	177951	213053	3277	25251	28528	60790	211736	272526	3746	32962	36708	437	87211	87648	44	11	92647	92702	11	33	0	437	50.3	23.6	26.1	68.8	25.5	5.7	0	0	0	0	1	0	1994	6966	8960	734	93	4834	5661	"244,117"	"192,494"	"34,598"	"471,209"	"51,993"	"126,578"	444	"179,015"	"43,639"	"42,934"	"15,349"	"27,120"	"779,266"
