"State"	"CAPURBINT"	"CAPURBLOC"	"CAPURBTOT"	"MNTURBINT"	"MNTURBLOC"	"MNTURBTOT"	"CAPRURINT"	"CAPRURLOC"	"CAPRURTOT"	"MNTRURINT"	"MNTRURLOC"	"MNTRURTOT"	"CAPTOTINT"	"CAPTOTLOC"	"CAPTOTTOT"	"MNTTOTINT"	"MNTTOTLOC"	"MNTTOTTOT"	"MILRURINT"	"MILRURLOC"	"MILRURTOT"	"MILURBINT"	"MILURBFWY"	"MILURBLOC"	"MILURBTOT"	"URBMIL+4"	"URBMIL-4"	"RURMIL+4"	"RURMIL-4"	"RURPASSVEH"	"RURTRUSING"	"RURTRUCOM"	"URBPASSVEH"	"URBTRUSING"	"URBTRUCOMB"	"ALASKA"	"NEWYORK"	"CALIFORNIA"	"SOUTHEAST"	"MIDWEST"	"NORTHEAST"	"VMTRURINT"	"VMTRURLOC"	"VMTRURTOT"	"VMTURBINT"	"VMTURBFWY"	"VMTURBLOC"	"VMTURBTOT"	"CSTADMHWY"	"CLOCADMRD"	"CFEDROAD"	"CTOTAL"	"MSTADMHWY"	"MLOCADMRD"	"MREDROAD"	"MTOTAL"	"ADM_MISC"	"LAW_SAFETY"	"INTEREST"	"BONDRETIRE"	"TOTALDISB"	"MILRURINT^2"
"Alabama"	125348	77005	202353	7008	87510	94518	29484	238395	267879	7412	55938	63350	154832	315400	470232	14420	143448	157868	602	72226	72828	297	21	91891	92209	43	254	0	602	56	16.9	27.1	72.7	14.3	13	0	0	0	1	0	0	4442	18361	22803	4208	326	18425	22959	372	42	974	416	134	299	14	434	72	57	11	20	1	487752
"Alaska"	35459	71217	106676	1369	19907	21276	50659	84665	135324	3744	8380	12124	86118	155882	242000	5113	28287	33400	1003	11104	12107	54	0	13795	13849	10	44	0	1003	57.9	39.7	2.4	85.1	14.2	.7	1	0	0	0	0	0	677	1328	2005	450	0	1386	1836	213	60	4	278	121	34	831	156	30	40	13	21	540	1041468
"Arizona"	48078	229257	277335	¥	¥	¥	66574	136890	203464	¥	¥	¥	114652	366147	480799	¥	¥	68839	987	38436	39423	202	70	55491	55763	54	148	0	987	57.7	26	16.3	58.7	33.2	8.1	0	0	0	0	0	0	5110	8678	13788	3003	1344	16912	21259	488	205	19	712	68	84	10	164	70	78	154	359	1	1022247
"Arkansas"	6623	132474	139097	1387	24221	25608	26357	196878	223235	7154	60650	67804	32980	329352	362332	8541	84871	93412	412	69185	69597	131	94	76967	77192	45	86	3	409	56.5	13.4	30.1	68.8	14.8	16.4	0	0	0	1	0	0	3140	11908	15048	1758	717	5558	8033	325	72	868	398	113	130	310	243	42	45	661	449	731	176367
"California"	513828	881208	1395036	51921	80647	132568	61578	678709	740287	44901	164991	209892	575406	1559917	2135323	96822	245638	342460	1356	86784	88140	1067	1393	166741	169201	940	127	286	1070	69.3	17.2	13.5	86.2	11	2.8	0	0	1	0	0	0	14322	37875	52197	52566	42332	115453	210351	2	1	15	3	511	1	1	1	1	1	58	35	8	2352564
"Colorado"	92615	88050	180665	7308	36948	44256	80658	79953	160611	18067	62885	80952	173273	168003	341276	25375	99833	125208	768	65050	65818	186	216	78319	78721	62	124	21	747	79.3	5.3	15.4	92.7	3.9	3.4	0	0	0	0	0	0	3661	8913	12574	3793	2406	12035	18234	386	179	3	569	128	236	921	365	52	96	43	63	1	682439
"Connecticut"	183530	329367	512897	3246	26674	29920	30305	44920	75225	1366	18028	19394	213835	374287	588122	4612	44702	49314	101	8713	8814	242	197	19918	20357	168	74	22	79	79.5	13.1	7.4	83.2	12	4.8	0	0	0	0	0	1	1357	4711	6068	6758	2623	11010	20391	691	70	0	761	60	156	0	217	75	17	168	206	1	193731
"Delaware"	22297	87042	109339	3083	25363	28446	0	96196	96196	0	673	673	22297	183238	205535	3083	26036	29119	0	3675	3675	41	9	5494	5544	30	11	0	0	100	0	0	63.5	25.2	11.3	0	0	0	1	0	0	0	2685	2685	989	38	3180	4207	193	3	14	211	55	8	0	63	50	36	46	26	435	22297
"Dist.  of  Col."	21573	86621	108194	1848	26106	27954	0	0	0	0	0	0	21573	86621	108194	1848	26106	27954	0	0	0	14	19	1074	1107	10	4	0	0	100	0	0	97.1	2.6	.3	0	0	0	1	0	0	0	0	0	469	393	2700	3562	0	101	5	106	0	28	12	28	19	0	73	46	273	21573
"Florida"	225241	864268	1089509	3581	111397	114978	94234	501226	595460	8772	73647	82419	319475	1365494	1684969	12353	185044	197397	1019	62611	63630	424	284	112100	112808	205	219	100	919	74.8	11.9	13.3	82.3	11.7	6	0	0	0	1	0	0	10183	24818	35001	12034	4319	68514	84867	1	681	682	2	282	366	312	649	428	271	232	153	3	1263602
"Georgia"	169131	255256	424387	6644	44293	50937	56115	257194	313309	6110	106470	112580	225246	512450	737696	12754	150763	163517	809	83796	84605	434	167	110278	110879	271	163	115	694	61.1	19.3	19.6	66.7	24.9	8.4	0	0	0	1	0	0	8419	23753	32172	11889	1646	32197	45732	699	174	724	874	185	260	15	446	113	127	46	300	1	823612
"Hawaii"	191402	39912	231314	1960	4246	6206	20447	51985	72432	700	8175	8875	211849	91897	303746	2660	12421	15081	0	2307	2307	44	53	4009	4106	38	6	0	0	100	0	0	79.3	20.1	.6	0	0	0	0	0	0	0	2148	2148	1533	804	3581	5918	316	23	263	340	19	50	0	70	38	16	18	22	507	191402
"Idaho"	762	7891	8653	346	824	1170	41236	75044	116280	2307	17980	20287	41998	82935	124933	2653	18804	21457	532	54887	55419	79	0	58756	58835	2	77	0	532	47.8	31.5	20.7	61	31.3	7.7	0	0	0	0	0	0	1667	5540	7207	741	0	2816	3557	111	42	6	160	49	84	1	134	43	14	341	545	354	283786
"Illinois"	365359	334974	700333	36813	124266	161079	212843	556580	769423	21476	74427	95903	578202	891554	1469756	58289	198693	256982	1421	100363	101784	630	80	136255	136965	311	319	28	1393	64.7	12.8	22.5	78.1	14.9	7	0	0	0	0	1	0	8428	19826	28254	14447	1047	43894	59388	1	507	56	1	291	701	490	993	260	126	129	115	3	2384600
"Indiana"	92677	234936	327613	8989	26980	35969	130626	177392	308018	38619	114821	153440	223303	412328	635631	47608	141801	189409	825	72287	73112	313	135	91926	92374	127	186	37	788	59.2	16.3	24.5	68.7	16.8	14.5	0	0	0	0	1	0	6646	22606	29252	5537	774	21509	27820	567	218	0	785	201	214	510	416	195	41	52	12	1	773302
"Iowa"	43819	76501	120320	3325	5805	9130	72276	220044	292320	12509	37006	49515	116095	296545	412640	15834	42811	58645	636	102854	103490	147	0	112561	112708	45	102	30	606	68.5	3.3	28.2	81.8	2.9	15.3	0	0	0	0	1	0	3406	11958	15364	1554	0	7008	8562	400	225	9	626	100	317	25	417	95	66	23	53	1	448315
"Kansas"	42397	72203	114600	14987	16041	31028	34629	284369	318998	17531	41016	58547	77026	356572	433598	32518	57057	89575	698	122978	123676	173	128	132955	133256	73	100	0	698	62.8	18	19.2	69.1	25.5	5.4	0	0	0	0	1	0	2573	10317	12890	2233	905	8135	11273	352	112	2	465	81	195	490	277	183	275	44	142	1	529601
"Kentucky"	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	540	61953	62493	221	93	72318	72632	85	136	27	513	55.1	23.9	21	68	25.4	6.6	0	0	0	1	0	0	4737	16656	21393	4384	559	11726	16669	683	157	2	843	152	111	41	263	88	109	103	143	1	¥
"Louisiana"	94588	238373	332961	2688	7909	10597	56281	209593	265874	1136	59761	60897	150869	447966	598835	3824	67670	71494	608	45225	45833	263	45	59291	59599	87	176	7	601	57	27.1	15.9	63.8	25	11.2	0	0	0	1	0	0	4197	12860	17057	3847	488	12463	16798	650	154	104	805	59	194	210	254	85	116	107	107	1	464252
"Maine"	4420	50380	54800	363	7371	7734	22864	60801	83665	18472	50372	68844	27284	111181	138465	18835	57743	76578	312	19615	19927	54	17	22439	22510	1	53	13	299	62.5	26.1	11.4	74.7	22	3.3	0	0	0	0	0	1	1725	7239	8964	480	95	2612	3187	143	15	446	159	114	98	153	213	17	42	12	15	460	101764
"Maryland"	79085	154176	233261	6980	84597	91577	113671	124701	238372	6588	2582	9170	192756	278877	471633	13568	87179	100747	227	15415	15642	255	224	28834	29313	187	68	123	104	63.7	17.2	19.1	65.3	33.5	1.2	0	0	0	1	0	0	2913	9889	12802	9086	3406	16602	29094	511	232	14	758	149	200	0	349	108	161	81	330	1	130614
"Massachusetts"	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	162	10765	10927	403	199	29961	30563	323	80	59	103	74.8	15.5	9.7	85.4	11	3.6	0	0	0	0	0	1	2176	6615	8791	10733	4490	23334	38557	871	141	40	1	146	244	0	390	214	177	174	245	2	¥
"Michigan"	261891	64799	326690	44295	9639	53934	71861	162943	234804	13758	26571	40329	333752	227742	561494	58053	36210	94263	741	88744	89485	499	221	116939	117659	301	198	92	649	72.2	18.6	9.2	72.7	19.5	7.8	0	0	0	0	1	0	5614	25620	31234	12601	3965	36419	52985	546	276	31	823	138	642	300	782	205	201	35	44	2	810972
"Minnesota"	75321	372047	447368	6115	34480	40595	14920	145839	160759	5342	51908	57250	90241	517886	608127	11457	86388	97845	681	114392	115073	233	130	129596	129959	106	127	20	661	86.4	2.7	10.9	93.1	2.5	4.4	0	0	0	0	1	0	3201	16769	19970	5320	2216	13656	21192	587	689	163	1	144	395	1	541	146	180	56	127	2	539082
"Mississippi"	29423	91401	120824	770	2241	3011	33549	279203	312752	3231	31588	34819	62972	370604	433576	4001	33829	37830	558	64372	64930	127	40	72667	72834	0	127	0	558	63.9	17.2	18.9	68.1	16.3	15.6	0	0	0	1	0	0	2951	14570	17521	1383	185	7150	8718	332	119	3	455	54	188	591	243	33	64	31	57	886	340787
"Missouri"	77983	107018	185001	22339	13394	35733	60904	254227	315131	16829	103110	119939	138887	361245	500132	39168	116504	155672	812	104825	105637	366	276	121145	121787	210	156	5	807	63.7	12	24.3	80.2	14.6	5.2	0	0	0	0	1	0	5504	19464	24968	8497	2326	17463	28286	464	199	1	665	210	222	8	433	177	124	11	19	1	737327
"Montana"	4706	35328	40034	485	2123	2608	33598	116717	150315	3520	12273	15793	38304	152045	190349	4005	14396	18401	1137	66251	67388	53	0	69715	69768	0	53	0	1137	53.1	31.6	15.3	67.5	22.9	9.6	0	0	0	0	0	0	1928	4574	6502	184	0	1839	2023	191	57	9	257	42	21	4	67	16	19	13	1	377	1297475
"Nebraska"	25688	33785	59473	469	7711	8180	35102	177951	213053	3277	25251	28528	60790	211736	272526	3746	32962	36708	437	87211	87648	44	11	92647	92702	11	33	0	437	50.3	23.6	26.1	68.8	25.5	5.7	0	0	0	0	1	0	1994	6966	8960	734	93	4834	5661	244	192	34	471	51	126	444	179	43	42	15	27	779	216657
"Nevada"	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	480	40701	41181	65	32	45681	45778	20	45	0	480	69.5	4.3	26.2	91.1	3.2	5.7	0	0	0	0	0	0	1522	2957	4479	1147	579	4692	6418	168	10	2	181	58	14	1	74	23	24	12	16	333	¥
"New  Hampshire"	12430	58654	71084	555	9422	9977	39037	61431	100468	3699	44484	48183	51467	120085	171552	4254	53906	58160	176	11893	12069	48	40	14850	14938	13	35	21	155	74.5	21.8	3.7	69.3	27	3.7	0	0	0	0	0	1	1330	5025	6355	712	448	2552	3712	86	37	0	124	98	66	106	165	96	46	21	4	458	43406
"New  Jersey"	498494	436924	935418	38105	129416	167521	10398	95880	106278	4801	25387	30188	508892	532804	1041696	42906	154803	197709	113	10955	11068	300	306	34491	35097	246	54	56	57	72.5	16.3	11.2	74.4	17.7	7.9	0	0	0	0	0	1	2124	9726	11850	8110	5734	33716	47560	1	100	0	1	358	342	0	701	381	254	238	220	3	511263
"New  Mexico"	27850	49279	77129	¥	¥	¥	63130	176558	239688	¥	¥	¥	90980	225837	316817	¥	¥	52572	907	54054	54961	91	3	60718	60812	26	65	10	897	63.6	15.3	21.1	66	14.7	19.3	0	0	0	0	0	0	3659	7989	11648	1202	2	5600	6804	245	38	6	290	63	38	5	107	65	26	2	2	494	850499
