State,LRMC-Auto ($/mi),LRMC-Comb,LRMC-Sing,LRMC-Truck,,State,SRMC-Auto,SRMC-Comb,SRMC-Sing,SRMC-Truck,LRTE,SRTE,"LRTE = 71,682 Nl 0.183 Nw -0.643 Pk 1.92 Pl  1.176 Pm 0.0445 Ya 0.450 Yc 0.103 Ys 0.149",SRTE = 73.99 Nl 0.126 Nw -0.326 Pk 0.473 Pl  0.605 Pm -0.0271 Ya 0.685 Yc 0.00271 Ys 0.193,Nl,Nw,Pk,Pl,Pm,Ya,Yc,Ys
Georgia,=79221*($R12^1.83)*($S12^0.786)*($T12^0.00492)*0.439*($U12^-0.561)*($V12^0.225)*($W12^0.179)/1000,=79221*($R12^1.83)*($S12^0.786)*($T12^0.00492)*($U12^0.439)*0.225*($V12^-0.775)*($W12^0.179)/1000,=79221*($R12^1.83)*($S12^0.786)*($T12^0.00492)*($U12^0.439)*($V12^0.225)*0.179*($W12^-0.821)/1000,=+(C12*V12+D12*W12)/(V12+W12),,Georgia,=73.99*($P12^0.126)*($Q12^-0.326)*($R12^0.473)*($S12^0.605)*($T12^-0.0271)*0.685*($U12^-0.315)*($V12^0.00271)*($W12^0.193)/1000,=73.99*($P12^0.126)*($Q12^-0.326)*($R12^0.473)*($S12^0.605)*($T12^-0.0271)*($U12^0.685)*0.00271*($V12^-0.997)*($W12^0.193)/1000,=73.99*($P12^0.126)*($Q12^-0.326)*($R12^0.473)*($S12^0.605)*($T12^-0.0271)*($U12^0.685)*($V12^0.00271)*0.193*($W12^-0.803)/1000,=+(I12*V12+J12*W12)/(V12+W12),1113409.56,404325,=71682*(P12^0.183)*(Q12^-0.643)*(R12^1.92)*(S12^1.176)*(T12^0.0445)*(U12^0.45)*(V12^0.103)*(W12^0.149),=73.99*(P12^0.126)*(Q12^-0.326)*(R12^0.473)*(S12^0.605)*(T12^-0.0271)*(U12^0.685)*(V12^0.00271)*(W12^0.193),110879,3.02249931932024,0.0475,0.899259074283108,1.61988304093567,50160.336,17596.464,10147.2
Hawaii,=79221*($R13^1.83)*($S13^0.786)*($T13^0.00492)*0.439*($U13^-0.561)*($V13^0.225)*($W13^0.179)/1000,=79221*($R13^1.83)*($S13^0.786)*($T13^0.00492)*($U13^0.439)*0.225*($V13^-0.775)*($W13^0.179)/1000,=79221*($R13^1.83)*($S13^0.786)*($T13^0.00492)*($U13^0.439)*($V13^0.225)*0.179*($W13^-0.821)/1000,=+(C13*V13+D13*W13)/(V13+W13),,Hawaii,=73.99*($P13^0.126)*($Q13^-0.326)*($R13^0.473)*($S13^0.605)*($T13^-0.0271)*0.685*($U13^-0.315)*($V13^0.00271)*($W13^0.193)/1000,=73.99*($P13^0.126)*($Q13^-0.326)*($R13^0.473)*($S13^0.605)*($T13^-0.0271)*($U13^0.685)*0.00271*($V13^-0.997)*($W13^0.193)/1000,=73.99*($P13^0.126)*($Q13^-0.326)*($R13^0.473)*($S13^0.605)*($T13^-0.0271)*($U13^0.685)*($V13^0.00271)*0.193*($W13^-0.803)/1000,=+(I13*V13+J13*W13)/(V13+W13),70059,70059,=71682*(P13^0.183)*(Q13^-0.643)*(R13^1.92)*(S13^1.176)*(T13^0.0445)*(U13^0.45)*(V13^0.103)*(W13^0.149),=73.99*(P13^0.126)*(Q13^-0.326)*(R13^0.473)*(S13^0.605)*(T13^-0.0271)*(U13^0.685)*(V13^0.00271)*(W13^0.193),4106,3,0.0515,1.11970287911637,3.46305156831473,6840.974,1189.518,35.5080000000001
Idaho,=79221*($R14^1.83)*($S14^0.786)*($T14^0.00492)*0.439*($U14^-0.561)*($V14^0.225)*($W14^0.179)/1000,=79221*($R14^1.83)*($S14^0.786)*($T14^0.00492)*($U14^0.439)*0.225*($V14^-0.775)*($W14^0.179)/1000,=79221*($R14^1.83)*($S14^0.786)*($T14^0.00492)*($U14^0.439)*($V14^0.225)*0.179*($W14^-0.821)/1000,=+(C14*V14+D14*W14)/(V14+W14),,Idaho,=73.99*($P14^0.126)*($Q14^-0.326)*($R14^0.473)*($S14^0.605)*($T14^-0.0271)*0.685*($U14^-0.315)*($V14^0.00271)*($W14^0.193)/1000,=73.99*($P14^0.126)*($Q14^-0.326)*($R14^0.473)*($S14^0.605)*($T14^-0.0271)*($U14^0.685)*0.00271*($V14^-0.997)*($W14^0.193)/1000,=73.99*($P14^0.126)*($Q14^-0.326)*($R14^0.473)*($S14^0.605)*($T14^-0.0271)*($U14^0.685)*($V14^0.00271)*0.193*($W14^-0.803)/1000,=+(I14*V14+J14*W14)/(V14+W14),269425.34,79784,=71682*(P14^0.183)*(Q14^-0.643)*(R14^1.92)*(S14^1.176)*(T14^0.0445)*(U14^0.45)*(V14^0.103)*(W14^0.149),=73.99*(P14^0.126)*(Q14^-0.326)*(R14^0.473)*(S14^0.605)*(T14^-0.0271)*(U14^0.685)*(V14^0.00271)*(W14^0.193),58835,3.01043076926056,0.0525,0.819937584983444,1.16002126528442,5614.716,3383.546,1765.738
Illinois,=79221*($R15^1.83)*($S15^0.786)*($T15^0.00492)*0.439*($U15^-0.561)*($V15^0.225)*($W15^0.179)/1000,=79221*($R15^1.83)*($S15^0.786)*($T15^0.00492)*($U15^0.439)*0.225*($V15^-0.775)*($W15^0.179)/1000,=79221*($R15^1.83)*($S15^0.786)*($T15^0.00492)*($U15^0.439)*($V15^0.225)*0.179*($W15^-0.821)/1000,=+(C15*V15+D15*W15)/(V15+W15),,Illinois,=73.99*($P15^0.126)*($Q15^-0.326)*($R15^0.473)*($S15^0.605)*($T15^-0.0271)*0.685*($U15^-0.315)*($V15^0.00271)*($W15^0.193)/1000,=73.99*($P15^0.126)*($Q15^-0.326)*($R15^0.473)*($S15^0.605)*($T15^-0.0271)*($U15^0.685)*0.00271*($V15^-0.997)*($W15^0.193)/1000,=73.99*($P15^0.126)*($Q15^-0.326)*($R15^0.473)*($S15^0.605)*($T15^-0.0271)*($U15^0.685)*($V15^0.00271)*0.193*($W15^-0.803)/1000,=+(I15*V15+J15*W15)/(V15+W15),2494676.878,643432,=71682*(P15^0.183)*(Q15^-0.643)*(R15^1.92)*(S15^1.176)*(T15^0.0445)*(U15^0.45)*(V15^0.103)*(W15^0.149),=73.99*(P15^0.126)*(Q15^-0.326)*(R15^0.473)*(S15^0.605)*(T15^-0.0271)*(U15^0.685)*(V15^0.00271)*(W15^0.193),136965,3.02216072981059,0.0535,1.09364273321189,1.5933014354067,64662.366,12465.324,10514.31
Indiana,=79221*($R16^1.83)*($S16^0.786)*($T16^0.00492)*0.439*($U16^-0.561)*($V16^0.225)*($W16^0.179)/1000,=79221*($R16^1.83)*($S16^0.786)*($T16^0.00492)*($U16^0.439)*0.225*($V16^-0.775)*($W16^0.179)/1000,=79221*($R16^1.83)*($S16^0.786)*($T16^0.00492)*($U16^0.439)*($V16^0.225)*0.179*($W16^-0.821)/1000,=+(C16*V16+D16*W16)/(V16+W16),,Indiana,=73.99*($P16^0.126)*($Q16^-0.326)*($R16^0.473)*($S16^0.605)*($T16^-0.0271)*0.685*($U16^-0.315)*($V16^0.00271)*($W16^0.193)/1000,=73.99*($P16^0.126)*($Q16^-0.326)*($R16^0.473)*($S16^0.605)*($T16^-0.0271)*($U16^0.685)*0.00271*($V16^-0.997)*($W16^0.193)/1000,=73.99*($P16^0.126)*($Q16^-0.326)*($R16^0.473)*($S16^0.605)*($T16^-0.0271)*($U16^0.685)*($V16^0.00271)*0.193*($W16^-0.803)/1000,=+(I16*V16+J16*W16)/(V16+W16),1102127.36,427163,=71682*(P16^0.183)*(Q16^-0.643)*(R16^1.92)*(S16^1.176)*(T16^0.0445)*(U16^0.45)*(V16^0.103)*(W16^0.149),=73.99*(P16^0.126)*(Q16^-0.326)*(R16^0.473)*(S16^0.605)*(T16^-0.0271)*(U16^0.685)*(V16^0.00271)*(W16^0.193),92374,3.01874639115114,0.0525,0.931576599853922,1.21743753322701,36429.524,9441.836,11200.64
Iowa,=79221*($R17^1.83)*($S17^0.786)*($T17^0.00492)*0.439*($U17^-0.561)*($V17^0.225)*($W17^0.179)/1000,=79221*($R17^1.83)*($S17^0.786)*($T17^0.00492)*($U17^0.439)*0.225*($V17^-0.775)*($W17^0.179)/1000,=79221*($R17^1.83)*($S17^0.786)*($T17^0.00492)*($U17^0.439)*($V17^0.225)*0.179*($W17^-0.821)/1000,=+(C17*V17+D17*W17)/(V17+W17),,Iowa,=73.99*($P17^0.126)*($Q17^-0.326)*($R17^0.473)*($S17^0.605)*($T17^-0.0271)*0.685*($U17^-0.315)*($V17^0.00271)*($W17^0.193)/1000,=73.99*($P17^0.126)*($Q17^-0.326)*($R17^0.473)*($S17^0.605)*($T17^-0.0271)*($U17^0.685)*0.00271*($V17^-0.997)*($W17^0.193)/1000,=73.99*($P17^0.126)*($Q17^-0.326)*($R17^0.473)*($S17^0.605)*($T17^-0.0271)*($U17^0.685)*($V17^0.00271)*0.193*($W17^-0.803)/1000,=+(I17*V17+J17*W17)/(V17+W17),884553.28,220813,=71682*(P17^0.183)*(Q17^-0.643)*(R17^1.92)*(S17^1.176)*(T17^0.0445)*(U17^0.45)*(V17^0.103)*(W17^0.149),=73.99*(P17^0.126)*(Q17^-0.326)*(R17^0.473)*(S17^0.605)*(T17^-0.0271)*(U17^0.685)*(V17^0.00271)*(W17^0.193),112708,3.00837164173669,0.0525,0.890130661593402,1.21903242955875,15135.456,3147.91,5642.634
Kansas,=79221*($R18^1.83)*($S18^0.786)*($T18^0.00492)*0.439*($U18^-0.561)*($V18^0.225)*($W18^0.179)/1000,=79221*($R18^1.83)*($S18^0.786)*($T18^0.00492)*($U18^0.439)*0.225*($V18^-0.775)*($W18^0.179)/1000,=79221*($R18^1.83)*($S18^0.786)*($T18^0.00492)*($U18^0.439)*($V18^0.225)*0.179*($W18^-0.821)/1000,=+(C18*V18+D18*W18)/(V18+W18),,Kansas,=73.99*($P18^0.126)*($Q18^-0.326)*($R18^0.473)*($S18^0.605)*($T18^-0.0271)*0.685*($U18^-0.315)*($V18^0.00271)*($W18^0.193)/1000,=73.99*($P18^0.126)*($Q18^-0.326)*($R18^0.473)*($S18^0.605)*($T18^-0.0271)*($U18^0.685)*0.00271*($V18^-0.997)*($W18^0.193)/1000,=73.99*($P18^0.126)*($Q18^-0.326)*($R18^0.473)*($S18^0.605)*($T18^-0.0271)*($U18^0.685)*($V18^0.00271)*0.193*($W18^-0.803)/1000,=+(I18*V18+J18*W18)/(V18+W18),1030789.71,547758,=71682*(P18^0.183)*(Q18^-0.643)*(R18^1.92)*(S18^1.176)*(T18^0.0445)*(U18^0.45)*(V18^0.103)*(W18^0.149),=73.99*(P18^0.126)*(Q18^-0.326)*(R18^0.473)*(S18^0.605)*(T18^-0.0271)*(U18^0.685)*(V18^0.00271)*(W18^0.193),133256,3.00817911689654,0.0525,0.843752435831185,1.29824561403509,15884.563,5194.815,3083.622
Kentucky,=79221*($R19^1.83)*($S19^0.786)*($T19^0.00492)*0.439*($U19^-0.561)*($V19^0.225)*($W19^0.179)/1000,=79221*($R19^1.83)*($S19^0.786)*($T19^0.00492)*($U19^0.439)*0.225*($V19^-0.775)*($W19^0.179)/1000,=79221*($R19^1.83)*($S19^0.786)*($T19^0.00492)*($U19^0.439)*($V19^0.225)*0.179*($W19^-0.821)/1000,=+(C19*V19+D19*W19)/(V19+W19),,Kentucky,=73.99*($P19^0.126)*($Q19^-0.326)*($R19^0.473)*($S19^0.605)*($T19^-0.0271)*0.685*($U19^-0.315)*($V19^0.00271)*($W19^0.193)/1000,=73.99*($P19^0.126)*($Q19^-0.326)*($R19^0.473)*($S19^0.605)*($T19^-0.0271)*($U19^0.685)*0.00271*($V19^-0.997)*($W19^0.193)/1000,=73.99*($P19^0.126)*($Q19^-0.326)*($R19^0.473)*($S19^0.605)*($T19^-0.0271)*($U19^0.685)*($V19^0.00271)*0.193*($W19^-0.803)/1000,=+(I19*V19+J19*W19)/(V19+W19),=#REF!,=#REF!,=71682*(P19^0.183)*(Q19^-0.643)*(R19^1.92)*(S19^1.176)*(T19^0.0445)*(U19^0.45)*(V19^0.103)*(W19^0.149),=73.99*(P19^0.126)*(Q19^-0.326)*(R19^0.473)*(S19^0.605)*(T19^-0.0271)*(U19^0.685)*(V19^0.00271)*(W19^0.193),72632,3.01516923518577,0.0515,0.880008429780219,1.5103668261563,23122.463,9346.853,5592.684
Louisiana,=79221*($R20^1.83)*($S20^0.786)*($T20^0.00492)*0.439*($U20^-0.561)*($V20^0.225)*($W20^0.179)/1000,=79221*($R20^1.83)*($S20^0.786)*($T20^0.00492)*($U20^0.439)*0.225*($V20^-0.775)*($W20^0.179)/1000,=79221*($R20^1.83)*($S20^0.786)*($T20^0.00492)*($U20^0.439)*($V20^0.225)*0.179*($W20^-0.821)/1000,=+(C20*V20+D20*W20)/(V20+W20),,Louisiana,=73.99*($P20^0.126)*($Q20^-0.326)*($R20^0.473)*($S20^0.605)*($T20^-0.0271)*0.685*($U20^-0.315)*($V20^0.00271)*($W20^0.193)/1000,=73.99*($P20^0.126)*($Q20^-0.326)*($R20^0.473)*($S20^0.605)*($T20^-0.0271)*($U20^0.685)*0.00271*($V20^-0.997)*($W20^0.193)/1000,=73.99*($P20^0.126)*($Q20^-0.326)*($R20^0.473)*($S20^0.605)*($T20^-0.0271)*($U20^0.685)*($V20^0.00271)*0.193*($W20^-0.803)/1000,=+(I20*V20+J20*W20)/(V20+W20),1243192.932,274125,=71682*(P20^0.183)*(Q20^-0.643)*(R20^1.92)*(S20^1.176)*(T20^0.0445)*(U20^0.45)*(V20^0.103)*(W20^0.149),=73.99*(P20^0.126)*(Q20^-0.326)*(R20^0.473)*(S20^0.605)*(T20^-0.0271)*(U20^0.685)*(V20^0.00271)*(W20^0.193),59599,3.01930060058751,0.0595,0.823876053361664,1.52153110047847,20439.614,8821.947,4593.439
Maine,=79221*($R21^1.83)*($S21^0.786)*($T21^0.00492)*0.439*($U21^-0.561)*($V21^0.225)*($W21^0.179)/1000,=79221*($R21^1.83)*($S21^0.786)*($T21^0.00492)*($U21^0.439)*0.225*($V21^-0.775)*($W21^0.179)/1000,=79221*($R21^1.83)*($S21^0.786)*($T21^0.00492)*($U21^0.439)*($V21^0.225)*0.179*($W21^-0.821)/1000,=+(C21*V21+D21*W21)/(V21+W21),,Maine,=73.99*($P21^0.126)*($Q21^-0.326)*($R21^0.473)*($S21^0.605)*($T21^-0.0271)*0.685*($U21^-0.315)*($V21^0.00271)*($W21^0.193)/1000,=73.99*($P21^0.126)*($Q21^-0.326)*($R21^0.473)*($S21^0.605)*($T21^-0.0271)*($U21^0.685)*0.00271*($V21^-0.997)*($W21^0.193)/1000,=73.99*($P21^0.126)*($Q21^-0.326)*($R21^0.473)*($S21^0.605)*($T21^-0.0271)*($U21^0.685)*($V21^0.00271)*0.193*($W21^-0.803)/1000,=+(I21*V21+J21*W21)/(V21+W21),293390.23,135964,=71682*(P21^0.183)*(Q21^-0.643)*(R21^1.92)*(S21^1.176)*(T21^0.0445)*(U21^0.45)*(V21^0.103)*(W21^0.149),=73.99*(P21^0.126)*(Q21^-0.326)*(R21^0.473)*(S21^0.605)*(T21^-0.0271)*(U21^0.685)*(V21^0.00271)*(W21^0.193),22510,3.01900590827789,0.0515,0.900547358332058,1.30409356725146,7983.189,3040.744,1127.067
Maryland,=79221*($R22^1.83)*($S22^0.786)*($T22^0.00492)*0.439*($U22^-0.561)*($V22^0.225)*($W22^0.179)/1000,=79221*($R22^1.83)*($S22^0.786)*($T22^0.00492)*($U22^0.439)*0.225*($V22^-0.775)*($W22^0.179)/1000,=79221*($R22^1.83)*($S22^0.786)*($T22^0.00492)*($U22^0.439)*($V22^0.225)*0.179*($W22^-0.821)/1000,=+(C22*V22+D22*W22)/(V22+W22),,Maryland,=73.99*($P22^0.126)*($Q22^-0.326)*($R22^0.473)*($S22^0.605)*($T22^-0.0271)*0.685*($U22^-0.315)*($V22^0.00271)*($W22^0.193)/1000,=73.99*($P22^0.126)*($Q22^-0.326)*($R22^0.473)*($S22^0.605)*($T22^-0.0271)*($U22^0.685)*0.00271*($V22^-0.997)*($W22^0.193)/1000,=73.99*($P22^0.126)*($Q22^-0.326)*($R22^0.473)*($S22^0.605)*($T22^-0.0271)*($U22^0.685)*($V22^0.00271)*0.193*($W22^-0.803)/1000,=+(I22*V22+J22*W22)/(V22+W22),1041502.14,370725,=71682*(P22^0.183)*(Q22^-0.643)*(R22^1.92)*(S22^1.176)*(T22^0.0445)*(U22^0.45)*(V22^0.103)*(W22^0.149),=73.99*(P22^0.126)*(Q22^-0.326)*(R22^0.473)*(S22^0.605)*(T22^-0.0271)*(U22^0.685)*(V22^0.00271)*(W22^0.193),29313,3.06968868614359,0.0475,1.21209124948396,1.39287612971824,27153.256,11948.434,2794.31
Massachusetts,=79221*($R23^1.83)*($S23^0.786)*($T23^0.00492)*0.439*($U23^-0.561)*($V23^0.225)*($W23^0.179)/1000,=79221*($R23^1.83)*($S23^0.786)*($T23^0.00492)*($U23^0.439)*0.225*($V23^-0.775)*($W23^0.179)/1000,=79221*($R23^1.83)*($S23^0.786)*($T23^0.00492)*($U23^0.439)*($V23^0.225)*0.179*($W23^-0.821)/1000,=+(C23*V23+D23*W23)/(V23+W23),,Massachusetts,=73.99*($P23^0.126)*($Q23^-0.326)*($R23^0.473)*($S23^0.605)*($T23^-0.0271)*0.685*($U23^-0.315)*($V23^0.00271)*($W23^0.193)/1000,=73.99*($P23^0.126)*($Q23^-0.326)*($R23^0.473)*($S23^0.605)*($T23^-0.0271)*($U23^0.685)*0.00271*($V23^-0.997)*($W23^0.193)/1000,=73.99*($P23^0.126)*($Q23^-0.326)*($R23^0.473)*($S23^0.605)*($T23^-0.0271)*($U23^0.685)*($V23^0.00271)*0.193*($W23^-0.803)/1000,=+(I23*V23+J23*W23)/(V23+W23),=#REF!,=#REF!,=71682*(P23^0.183)*(Q23^-0.643)*(R23^1.92)*(S23^1.176)*(T23^0.0445)*(U23^0.45)*(V23^0.103)*(W23^0.149),=73.99*(P23^0.126)*(Q23^-0.326)*(R23^0.473)*(S23^0.605)*(T23^-0.0271)*(U23^0.685)*(V23^0.00271)*(W23^0.193),30563,3.07337880538279,0.0535,1.16346772866501,1.53960659223817,39503.346,5603.875,2240.779
Michigan,=79221*($R24^1.83)*($S24^0.786)*($T24^0.00492)*0.439*($U24^-0.561)*($V24^0.225)*($W24^0.179)/1000,=79221*($R24^1.83)*($S24^0.786)*($T24^0.00492)*($U24^0.439)*0.225*($V24^-0.775)*($W24^0.179)/1000,=79221*($R24^1.83)*($S24^0.786)*($T24^0.00492)*($U24^0.439)*($V24^0.225)*0.179*($W24^-0.821)/1000,=+(C24*V24+D24*W24)/(V24+W24),,Michigan,=73.99*($P24^0.126)*($Q24^-0.326)*($R24^0.473)*($S24^0.605)*($T24^-0.0271)*0.685*($U24^-0.315)*($V24^0.00271)*($W24^0.193)/1000,=73.99*($P24^0.126)*($Q24^-0.326)*($R24^0.473)*($S24^0.605)*($T24^-0.0271)*($U24^0.685)*0.00271*($V24^-0.997)*($W24^0.193)/1000,=73.99*($P24^0.126)*($Q24^-0.326)*($R24^0.473)*($S24^0.605)*($T24^-0.0271)*($U24^0.685)*($V24^0.00271)*0.193*($W24^-0.803)/1000,=+(I24*V24+J24*W24)/(V24+W24),1708469.162,501791,=71682*(P24^0.183)*(Q24^-0.643)*(R24^1.92)*(S24^1.176)*(T24^0.0445)*(U24^0.45)*(V24^0.103)*(W24^0.149),=73.99*(P24^0.126)*(Q24^-0.326)*(R24^0.473)*(S24^0.605)*(T24^-0.0271)*(U24^0.685)*(V24^0.00271)*(W24^0.193),117659,3.02131545662924,0.0535,1.10696727108961,1.41626794258373,61071.043,16141.599,7006.358
Minnesota,=79221*($R25^1.83)*($S25^0.786)*($T25^0.00492)*0.439*($U25^-0.561)*($V25^0.225)*($W25^0.179)/1000,=79221*($R25^1.83)*($S25^0.786)*($T25^0.00492)*($U25^0.439)*0.225*($V25^-0.775)*($W25^0.179)/1000,=79221*($R25^1.83)*($S25^0.786)*($T25^0.00492)*($U25^0.439)*($V25^0.225)*0.179*($W25^-0.821)/1000,=+(C25*V25+D25*W25)/(V25+W25),,Minnesota,=73.99*($P25^0.126)*($Q25^-0.326)*($R25^0.473)*($S25^0.605)*($T25^-0.0271)*0.685*($U25^-0.315)*($V25^0.00271)*($W25^0.193)/1000,=73.99*($P25^0.126)*($Q25^-0.326)*($R25^0.473)*($S25^0.605)*($T25^-0.0271)*($U25^0.685)*0.00271*($V25^-0.997)*($W25^0.193)/1000,=73.99*($P25^0.126)*($Q25^-0.326)*($R25^0.473)*($S25^0.605)*($T25^-0.0271)*($U25^0.685)*($V25^0.00271)*0.193*($W25^-0.803)/1000,=+(I25*V25+J25*W25)/(V25+W25),1222271.538,425256,=71682*(P25^0.183)*(Q25^-0.643)*(R25^1.92)*(S25^1.176)*(T25^0.0445)*(U25^0.45)*(V25^0.103)*(W25^0.149),=73.99*(P25^0.126)*(Q25^-0.326)*(R25^0.473)*(S25^0.605)*(T25^-0.0271)*(U25^0.685)*(V25^0.00271)*(W25^0.193),129959,3.00991585871892,0.0495,1.03254126117595,1.02498670919724,32867.632,5185.19,3109.178
Mississippi,=79221*($R26^1.83)*($S26^0.786)*($T26^0.00492)*0.439*($U26^-0.561)*($V26^0.225)*($W26^0.179)/1000,=79221*($R26^1.83)*($S26^0.786)*($T26^0.00492)*($U26^0.439)*0.225*($V26^-0.775)*($W26^0.179)/1000,=79221*($R26^1.83)*($S26^0.786)*($T26^0.00492)*($U26^0.439)*($V26^0.225)*0.179*($W26^-0.821)/1000,=+(C26*V26+D26*W26)/(V26+W26),,Mississippi,=73.99*($P26^0.126)*($Q26^-0.326)*($R26^0.473)*($S26^0.605)*($T26^-0.0271)*0.685*($U26^-0.315)*($V26^0.00271)*($W26^0.193)/1000,=73.99*($P26^0.126)*($Q26^-0.326)*($R26^0.473)*($S26^0.605)*($T26^-0.0271)*($U26^0.685)*0.00271*($V26^-0.997)*($W26^0.193)/1000,=73.99*($P26^0.126)*($Q26^-0.326)*($R26^0.473)*($S26^0.605)*($T26^-0.0271)*($U26^0.685)*($V26^0.00271)*0.193*($W26^-0.803)/1000,=+(I26*V26+J26*W26)/(V26+W26),550037.388,135813,=71682*(P26^0.183)*(Q26^-0.643)*(R26^1.92)*(S26^1.176)*(T26^0.0445)*(U26^0.45)*(V26^0.103)*(W26^0.149),=73.99*(P26^0.126)*(Q26^-0.326)*(R26^0.473)*(S26^0.605)*(T26^-0.0271)*(U26^0.685)*(V26^0.00271)*(W26^0.193),72834,3.00995414229618,0.0515,0.764762219572679,1.55077086656034,17132.877,4434.646,4671.477
Missouri,=79221*($R27^1.83)*($S27^0.786)*($T27^0.00492)*0.439*($U27^-0.561)*($V27^0.225)*($W27^0.179)/1000,=79221*($R27^1.83)*($S27^0.786)*($T27^0.00492)*($U27^0.439)*0.225*($V27^-0.775)*($W27^0.179)/1000,=79221*($R27^1.83)*($S27^0.786)*($T27^0.00492)*($U27^0.439)*($V27^0.225)*0.179*($W27^-0.821)/1000,=+(C27*V27+D27*W27)/(V27+W27),,Missouri,=73.99*($P27^0.126)*($Q27^-0.326)*($R27^0.473)*($S27^0.605)*($T27^-0.0271)*0.685*($U27^-0.315)*($V27^0.00271)*($W27^0.193)/1000,=73.99*($P27^0.126)*($Q27^-0.326)*($R27^0.473)*($S27^0.605)*($T27^-0.0271)*($U27^0.685)*0.00271*($V27^-0.997)*($W27^0.193)/1000,=73.99*($P27^0.126)*($Q27^-0.326)*($R27^0.473)*($S27^0.605)*($T27^-0.0271)*($U27^0.685)*($V27^0.00271)*0.193*($W27^-0.803)/1000,=+(I27*V27+J27*W27)/(V27+W27),1112379.19,457183,=71682*(P27^0.183)*(Q27^-0.643)*(R27^1.92)*(S27^1.176)*(T27^0.0445)*(U27^0.45)*(V27^0.103)*(W27^0.149),=73.99*(P27^0.126)*(Q27^-0.326)*(R27^0.473)*(S27^0.605)*(T27^-0.0271)*(U27^0.685)*(V27^0.00271)*(W27^0.193),121787,3.01485535224272,0.0475,0.913098925780404,1.25146198830409,38589.988,7125.916,7538.096
Montana ,=79221*($R28^1.83)*($S28^0.786)*($T28^0.00492)*0.439*($U28^-0.561)*($V28^0.225)*($W28^0.179)/1000,=79221*($R28^1.83)*($S28^0.786)*($T28^0.00492)*($U28^0.439)*0.225*($V28^-0.775)*($W28^0.179)/1000,=79221*($R28^1.83)*($S28^0.786)*($T28^0.00492)*($U28^0.439)*($V28^0.225)*0.179*($W28^-0.821)/1000,=+(C28*V28+D28*W28)/(V28+W28),,Montana ,=73.99*($P28^0.126)*($Q28^-0.326)*($R28^0.473)*($S28^0.605)*($T28^-0.0271)*0.685*($U28^-0.315)*($V28^0.00271)*($W28^0.193)/1000,=73.99*($P28^0.126)*($Q28^-0.326)*($R28^0.473)*($S28^0.605)*($T28^-0.0271)*($U28^0.685)*0.00271*($V28^-0.997)*($W28^0.193)/1000,=73.99*($P28^0.126)*($Q28^-0.326)*($R28^0.473)*($S28^0.605)*($T28^-0.0271)*($U28^0.685)*($V28^0.00271)*0.193*($W28^-0.803)/1000,=+(I28*V28+J28*W28)/(V28+W28),312090.338,54668,=71682*(P28^0.183)*(Q28^-0.643)*(R28^1.92)*(S28^1.176)*(T28^0.0445)*(U28^0.45)*(V28^0.103)*(W28^0.149),=73.99*(P28^0.126)*(Q28^-0.326)*(R28^0.473)*(S28^0.605)*(T28^-0.0271)*(U28^0.685)*(V28^0.00271)*(W28^0.193),69768,3.01705653021443,0.0515,0.873971898807994,1.26209463051568,4818.087,2517.899,1189.014
Nebraska,=79221*($R29^1.83)*($S29^0.786)*($T29^0.00492)*0.439*($U29^-0.561)*($V29^0.225)*($W29^0.179)/1000,=79221*($R29^1.83)*($S29^0.786)*($T29^0.00492)*($U29^0.439)*0.225*($V29^-0.775)*($W29^0.179)/1000,=79221*($R29^1.83)*($S29^0.786)*($T29^0.00492)*($U29^0.439)*($V29^0.225)*0.179*($W29^-0.821)/1000,=+(C29*V29+D29*W29)/(V29+W29),,Nebraska,=73.99*($P29^0.126)*($Q29^-0.326)*($R29^0.473)*($S29^0.605)*($T29^-0.0271)*0.685*($U29^-0.315)*($V29^0.00271)*($W29^0.193)/1000,=73.99*($P29^0.126)*($Q29^-0.326)*($R29^0.473)*($S29^0.605)*($T29^-0.0271)*($U29^0.685)*0.00271*($V29^-0.997)*($W29^0.193)/1000,=73.99*($P29^0.126)*($Q29^-0.326)*($R29^0.473)*($S29^0.605)*($T29^-0.0271)*($U29^0.685)*($V29^0.00271)*0.193*($W29^-0.803)/1000,=+(I29*V29+J29*W29)/(V29+W29),464939.45,123281,=71682*(P29^0.183)*(Q29^-0.643)*(R29^1.92)*(S29^1.176)*(T29^0.0445)*(U29^0.45)*(V29^0.103)*(W29^0.149),=73.99*(P29^0.126)*(Q29^-0.326)*(R29^0.473)*(S29^0.605)*(T29^-0.0271)*(U29^0.685)*(V29^0.00271)*(W29^0.193),92702,3.00552434068353,0.0525,0.854463597495316,1.18075491759702,8401.648,3558.115,2661.237
