,"STATE HIGHWAY AGENCY CAPITAL OUTLAY AND MAINTENANCE - 1993, Table SF-12 p.IV-64",,,,,,,,,,,,
,,(thousands of dollars),,,,,,,,,,,
STATE,CAPITAL,,,MAINTENANCE,,,,,,,,,
,RURAL,RURAL,RURAL ,RURAL,RURAL,RURAL ,,,RURAL,RURAL,RURAL TOTAL,,RURAL
,INTERSTATE,LOCAL,TOTAL,INTERSTATE,LOCAL,TOTAL,,,INTERSTATE,NON-INTERSTATE,,,INTERSTATE
,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,,MNTRURINT,VMTRURINT,VMTRURLOC,VMTRURTOT,CAPRURINT,VMTRURINT
Alabama,29484,238395,267879,7412,55938,63350,,7412,4442,18361,22803,29484,4442
Alaska,50659,84665,135324,3744,8380,12124,,3744,677,1328,2005,50659,677
Arizona,66574,136890,203464,NA,=#REF!,NA,,NA,5110,8678,13788,66574,5110
Arkansas,26357,196878,223235,7154,60650,67804,,7154,3140,11908,15048,26357,3140
California,61578,678709,740287,44901,164991,209892,,44901,14322,37875,52197,61578,14322
Colorado,80658,79953,160611,18067,62885,80952,,18067,3661,8913,12574,80658,3661
Connecticut,30305,44920,75225,1366,18028,19394,,1366,1357,4711,6068,30305,1357
Delaware,0,96196,96196,0,673,673,,0,0,2685,2685,0,0
Dist.  of  Col.,0,0,0,0,0,0,,0,0,0,0,0,0
Florida,94234,501226,595460,8772,73647,82419,,8772,10183,24818,35001,94234,10183
Georgia,56115,257194,313309,6110,106470,112580,,6110,8419,23753,32172,56115,8419
Hawaii,20447,51985,72432,700,8175,8875,,700,0,2148,2148,20447,0
Idaho,41236,75044,116280,2307,17980,20287,,2307,1667,5540,7207,41236,1667
Illinois,212843,556580,769423,21476,74427,95903,,21476,8428,19826,28254,212843,8428
Indiana,130626,177392,308018,38619,114821,153440,,38619,6646,22606,29252,130626,6646
Iowa,72276,220044,292320,12509,37006,49515,,12509,3406,11958,15364,72276,3406
Kansas,34629,284369,318998,17531,41016,58547,,17531,2573,10317,12890,34629,2573
Kentucky,"""NA",=#REF!,NA,NA,=#REF!,NA,,NA,4737,16656,21393,"""NA",4737
Louisiana,56281,209593,265874,1136,59761,60897,,1136,4197,12860,17057,56281,4197
Maine,22864,60801,83665,18472,50372,68844,,18472,1725,7239,8964,22864,1725
Maryland,113671,124701,238372,6588,2582,9170,,6588,2913,9889,12802,113671,2913
Massachusetts,NA,=#REF!,NA,NA,=#REF!,NA,,NA,2176,6615,8791,NA,2176
Michigan,71861,162943,234804,13758,26571,40329,,13758,5614,25620,31234,71861,5614
Minnesota,14920,145839,160759,5342,51908,57250,,5342,3201,16769,19970,14920,3201
Mississippi,33549,279203,312752,3231,31588,34819,,3231,2951,14570,17521,33549,2951
Missouri,60904,254227,315131,16829,103110,119939,,16829,5504,19464,24968,60904,5504
Montana ,33598,116717,150315,3520,12273,15793,,3520,1928,4574,6502,33598,1928
Nebraska,35102,177951,213053,3277,25251,28528,,3277,1994,6966,8960,35102,1994
Nevada,NA,=#REF!,NA,NA,=#REF!,NA,,NA,1522,2957,4479,NA,1522
New  Hampshire,39037,61431,100468,3699,44484,48183,,3699,1330,5025,6355,39037,1330
New  Jersey,10398,95880,106278,4801,25387,30188,,4801,2124,9726,11850,10398,2124
New  Mexico,63130,176558,239688,NA,=#REF!,NA,,NA,3659,7989,11648,63130,3659
New  York,308954,79800,388754,104087,37561,141648,,104087,5381,24961,30342,308954,5381
North  Carolina,95113,304887,400000,8739,86962,95701,,8739,6237,27529,33766,95113,6237
North  Dakota,19318,52728,72046,3279,25233,28512,,3279,1012,3485,4497,19318,1012
Ohio,87218,196244,283462,27324,285261,312585,,27324,8276,29153,37429,87218,8276
Oklahoma,13592,114963,128555,3148,74386,77534,,3148,3705,13662,17367,13592,3705
Oregon,36947,118079,155026,18564,59139,77703,,18564,3812,11724,15536,36947,3812
Pennsylvania,295404,265133,560537,43941,124571,168512,,43941,7381,29968,37349,295404,7381
Rhode  Island,4734,20313,25047,2051,4680,6731,,2051,278,851,1129,4734,278
South  Carolina,25330,198089,223419,0,15895,15895,,0,5945,15168,21113,25330,5945
South  Dakota,22248,111723,133971,5088,24580,29668,,5088,1354,4324,5678,22248,1354
Tennessee,37419,343240,380659,27008,108025,135033,,27008,6603,15998,22601,37419,6603
Texas,156428,807390,963818,162540,355502,518042,,162540,12612,44556,57168,156428,12612
Utah,36446,77545,113991,12500,20560,33060,,12500,2309,3633,5942,36446,2309
Vermont,13511,48863,62374,1432,7378,8810,,1432,1011,3304,4315,13511,1011
Virginia,46316,182575,228891,66071,157167,223238,,66071,7511,22259,29770,46316,7511
Washington,26177,234796,260973,7031,26629,33660,,7031,3563,13129,16692,26177,3563
West  Virginia,37245,290280,327525,15215,65377,80592,,15215,2979,8853,11832,37245,2979
Wisconsin,36422,381434,417856,4988,57700,62688,,4988,4236,20781,25017,36422,4236
Wyoming,39675,93466,133141,5815,21789,27604,,5815,1746,2858,4604,39675,1746
Undistributed,,,,,,,,,,,,,
Total,2901833,=#REF!,12369665,790142,=#REF!,3626911,,790142,=SUM(J7:J57),=SUM(K7:K57),=SUM(L7:L57),2901833,=SUM(N7:N57)
