,"Source: Table VM2, pV-117 Annual Vehicle Miles of Travel 1992 Revised",,,,,,,
,1993 Highway Statistics (FHWA PL-94-023),,,,,,,
,VMT 1992 (millions),,,,,,,
STATE,RURAL,RURAL,RURAL TOTAL,URBAN,,URBAN,URBAN,
,INTERSTATE,NON-INTERSTATE,,INTERSTATE,OTHER FWY,NON-INTERSTATE,TOTAL,
,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,
Alabama,4442,18361,22803,4208,326,18425,22959,
Alaska,677,1328,2005,450,0,1386,1836,
Arizona,5110,8678,13788,3003,1344,16912,21259,
Arkansas,3140,11908,15048,1758,717,5558,8033,
California,14322,37875,52197,52566,42332,115453,210351,
Colorado,3661,8913,12574,3793,2406,12035,18234,
Connecticut,1357,4711,6068,6758,2623,11010,20391,
Delaware,0,2685,2685,989,38,3180,4207,
Dist.  of  Col.,0,0,0,469,393,2700,3562,
Florida,10183,24818,35001,12034,4319,68514,84867,
Georgia,8419,23753,32172,11889,1646,32197,45732,
Hawaii,0,2148,2148,1533,804,3581,5918,
Idaho,1667,5540,7207,741,0,2816,3557,
Illinois,8428,19826,28254,14447,1047,43894,59388,
Indiana,6646,22606,29252,5537,774,21509,27820,
Iowa,3406,11958,15364,1554,0,7008,8562,
Kansas,2573,10317,12890,2233,905,8135,11273,
Kentucky,4737,16656,21393,4384,559,11726,16669,
Louisiana,4197,12860,17057,3847,488,12463,16798,
Maine,1725,7239,8964,480,95,2612,3187,
Maryland,2913,9889,12802,9086,3406,16602,29094,
Massachusetts,2176,6615,8791,10733,4490,23334,38557,
Michigan,5614,25620,31234,12601,3965,36419,52985,
Minnesota,3201,16769,19970,5320,2216,13656,21192,
Mississippi,2951,14570,17521,1383,185,7150,8718,
Missouri,5504,19464,24968,8497,2326,17463,28286,
Montana ,1928,4574,6502,184,0,1839,2023,
Nebraska,1994,6966,8960,734,93,4834,5661,
Nevada,1522,2957,4479,1147,579,4692,6418,
New  Hampshire,1330,5025,6355,712,448,2552,3712,
New  Jersey,2124,9726,11850,8110,5734,33716,47560,
New  Mexico,3659,7989,11648,1202,2,5600,6804,
New  York,5381,24961,30342,14475,14327,50737,79539,
North  Carolina,6237,27529,33766,6050,2464,25258,33772,
North  Dakota,1012,3485,4497,188,0,1387,1575,
Ohio,8276,29153,37429,15929,3608,38255,57792,
Oklahoma,3705,13662,17367,3365,1831,12556,17752,
Oregon,3812,11724,15536,2966,971,8453,12390,
Pennsylvania,7381,29968,37349,8839,4656,38356,51851,
Rhode  Island,278,851,1129,1407,601,4422,6430,
South  Carolina,5945,15168,21113,2427,589,10920,13936,
South  Dakota,1354,4324,5678,229,17,1294,1540,
Tennessee,6603,15998,22601,6473,871,20049,27393,
Texas,12612,44556,57168,23998,15234,66929,106161,
Utah,2309,3633,5942,3321,90,6954,10365,
Vermont,1011,3304,4315,284,51,1369,1704,
Virginia,7511,22259,29770,8174,2263,23240,33677,
Washington,3563,13129,16692,8350,3841,20503,32694,
West  Virginia,2979,8853,11832,1169,414,3063,4646,
Wisconsin,4236,20781,25017,2988,2216,17407,22611,
Wyoming,1746,2858,4604,261,8,1344,1613,
Undistributed,,,,,,,,
Total,=SUM(B7:B57),=SUM(C7:C57),=SUM(D7:D57),=SUM(E7:E57),=SUM(F7:F57),=SUM(G7:G57),=SUM(H7:H57),=SUM(I7:I57)
,,,,=+E59+F59,,,,
,,,,441587,,,,
