,STATE,,YEAR,HIGHWAY,GSP,TOTPUB,PVTCAP,AREA,ROW,TCAP,TMANT,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,MILTOTTOT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,CSTADMHWY,CLOCADMRD,CFEDROAD,CTOTAL,MSTADMHWY,MLOCADMRD,MREDROAD,MTOTAL,ADM_MISC,LAW_SAFETY,INTEREST,BONDRETIRE,TOTALDISB,PGOVSAL93,PGOVSAL94,PBITCONC93,PEXCAV93,PREINFSTL93,PSTRUCTSTL93,PSTRUCCON93,POP90(THSD),SQMILES,POPDENS=LAND,BONDRATE (Moody's)
"""",NEW_MEXICO,"""",1988,4388.96,21618,9192.05,29698.23,121598,15861000,258000000,111000000,27850,49279,77129,=#REF!,=#REF!,=#REF!,63130,176558,239688,NA,=#REF!,NA,90980,225837,316817,NA,=#REF!,52572,907,=+AG33-AE33,54961,91,3,=+AK33-AH33-AI33,5851,=AG33+AK33,26,65,10,897,63.6,15.3,21.1,66,14.7,19.3,0,0,0,0,0,0,3659,7989,11648,1202,2,5600,6804,245616,38902,6033,290551,63812,38326,5674,107812,65312,26275,2532,2014,494496,25083,26013,22.47,2.68,0.592,2.241,298.37,1548,121598,12.7304725406668, AA1
"""",NEW_YORK,"""",1988,37413.16,334914,136677.7,234991.6,54475,26813000,2000000000,1740000000,659716,1156753,1816469,6566,139131,145697,308954,79800,388754,104087,37561,141648,968670,1236553,2205223,110653,176692,287345,797,=+AG34-AE34,72589,703,857,=+AK34-AH34-AI34,39293,=AG34+AK34,385,318,52,745,69.5,16.3,14.2,77.4,17.2,5.4,0,1,0,0,0,1,5381,24961,30342,14475,14327,50737,79539,1172069,1220310,176,2392555,606776,1839465,200,2446441,616785,283252,586457,409463,6734953,33575,34776,29.27,4.76,0.727,0.978,426.54,18058,54475,331.491509866911,   A
"""",NORTH_CAROLINA,"""",1988,10338.95,96632,27589.03,92268.96,53821,78438000,648000000,451000000,64284,356506,420790,2913,285614,288527,95113,304887,400000,8739,86962,95701,159397,661393,820790,11652,372576,384228,633,=+AG35-AE35,74305,337,260,=+AK35-AH35-AI35,21723,=AG35+AK35,87,250,18,615,70.9,7.1,22,74.5,14.3,11.2,0,0,0,1,0,0,6237,27529,33766,6050,2464,25258,33772,772594,127328,10329,910251,362139,86571,1044,449754,127094,203642,28870,17703,1737314,24581,25105,25.82,1.92,0.448,0.826,250.09,6737,53821,125.174188513777, AAA
"""",NORTH_DAKOTA,"""",1988,3129.3,8601,5019.72,20859.28,70704,1181000,144000000,89492000,12595,38445,51040,244,1285,1529,19318,52728,72046,3279,25233,28512,31913,91173,123086,3523,26518,30041,531,=+AG36-AE36,84909,40,0,=+AK36-AH36-AI36,1818,=AG36+AK36,3,37,0,531,64.6,21.1,14.3,73.3,19.6,7.1,0,0,0,0,0,0,1012,3485,4497,188,0,1387,1575,93070,45587,15,138672,34178,50244,2185,86607,20627,15228,6931,13499,281564,21716,22248,53.34,1.02,0.581,2.157,328.51,635,70704,8.98110432224485,  AA
"""",OHIO,"""",1988,23735.85,170707,56826.91,152935.7,44828,29341000,1030000000,693000000,221034,317734,538768,18514,67884,86398,87218,196244,283462,27324,285261,312585,308252,513978,822230,45838,353145,398983,847,=+AG37-AE37,82255,726,381,=+AK37-AH37-AI37,31568,=AG37+AK37,212,514,15,832,67.2,12.6,20.2,79.7,12.2,8.1,0,0,0,0,1,0,8276,29153,37429,15929,3608,38255,57792,679950,401989,211,1082150,460687,504058,23,964768,335689,213155,51708,109564,2757034,27157,27951,22.5,3.66,0.467,0.704,269.34,10939,44828,244.021593646828,  AA
"""",OKLAHOMA,"""",1988,6698.98,45128,16765.62,64872.43,69903,9097000,453000000,270000000,49705,155221,204926,2411,5119,7530,13592,114963,128555,3148,74386,77534,63297,270184,333481,5559,79505,85064,715,=+AG38-AE38,99673,214,136,=+AK38-AH38-AI38,12794,=AG38+AK38,72,142,0,715,62.8,18,19.2,69.1,25.5,5.40000000000001,0,0,0,0,0,0,3705,13662,17367,3365,1831,12556,17752,320609,113422,4000,438031,88492,117914,17,206423,191811,41384,56248,85638,1019535,23145,23594,27.52,2.16,0.467,1.126,213.21,3175,69903,45.4200821137862,  AA
"""",OREGON,"""",1988,6837.71,39101,16140.43,40897.2,98386,22951000,427000000,244000000,20270,141847,162117,9788,49226,59014,36947,118079,155026,18564,59139,77703,57217,259926,317143,28352,108365,136717,581,=+AG39-AE39,86008,146,53,=+AK39-AH39-AI39,10028,=AG39+AK39,58,88,21,560,54.3,29.5,16.2,65.5,28.9,5.6,0,0,0,0,0,0,3812,11724,15536,2966,971,8453,12390,335881,201205,10798,547884,120773,168155,7523,296451,64501,73433,14067,24162,1020498,27778,28609,27.54,7.14,0.456,0.665,252.68,2922,98386,29.6993474681357,  AA
"""",PENNSYLVANIA,"""",1988,24206.95,177793,59912.6,162151.9,46058,62654000,1500000000,1080000000,315428,409182,724610,12640,342892,355532,295404,265133,560537,43941,124571,168512,610832,674315,1285147,56581,467463,524044,1079,=+AG40-AE40,84422,509,485,=+AK40-AH40-AI40,32616,=AG40+AK40,111,398,18,1061,60.5,16.5,23,73.8,16.2,10,0,0,0,0,0,1,7381,29968,37349,8839,4656,38356,51851,1223271,125258,268,1348797,764351,744656,85,1509092,152494,443935,190151,225189,3869658,29870,30653,30.46,3.7,0.634,0.998,317.11,11961,46058,259.694298493204,  A1
"""",RHODE_ISLAND,"""",1988,1980.89,14517,4332.13,9424.25,1545,5917000,168000000,26137000,24216,172300,196516,4785,16366,21151,4734,20313,25047,2051,4680,6731,28950,192613,221563,6836,21046,27882,21,=+AG41-AE41,1334,49,68,=+AK41-AH41-AI41,4723,=AG41+AK41,33,16,0,21,74.8,16.9,8.3,79.9,14,6.09999999999999,0,0,0,0,0,1,278,851,1129,1407,601,4422,6430,136323,4040,0,140363,23710,17136,6,40852,9798,28023,14684,19770,253490,31024,31778,31.17,3.35,0.483,0.885,247.97,1004,1545,649.838187702265,  A1
"""",SOUTH_CAROLINA,"""",1988,4777.93,44895,14869.23,52312.05,32007,18495000,335000000,195000000,32565,150992,183557,85,111198,111283,25330,198089,223419,0,15895,15895,57895,349081,406976,85,127093,127178,668,=+AG42-AE42,53637,142,70,=+AK42-AH42-AI42,10521,=AG42+AK42,51,91,16,652,70.6,10.6,18.8,76.6,12.1,11.3,0,0,0,1,0,0,5945,15168,21113,2427,589,10920,13936,332967,31128,28,364123,156266,43893,40,200199,52696,86404,917,824,705163,24142,24336,24.89,2.66,0.443,0.851,218.8,3560,32007,111.225669384822, AAA
"""",SOUTH_DAKOTA,"""",1988,3227.74,8284,5421.95,11763.85,77121,2352000,173000000,89132000,8696,46384,55080,648,1537,2185,22248,111723,133971,5088,24580,29668,30944,158107,189051,5736,26117,31853,631,=+AG43-AE43,81445,47,3,=+AK43-AH43-AI43,1860,=AG43+AK43,0,47,0,631,72.9,16.4,10.7,80.6,16.9,2.50000000000001,0,0,0,0,0,0,1354,4324,5678,229,17,1294,1540,159816,68946,1516,230278,33371,68300,3757,105428,21403,30636,843,1813,390401,21562,22336,12.8,1.22,0.47,0.47,204.59,703,77121,9.11554570091155,   X
"""",TENNESSEE,"""",1988,11110.42,72003,26911.07,71707.9,42146,38611000,724000000,352000000,79292,109327,188619,18005,27009,45014,37419,343240,380659,27008,108025,135033,116711,452567,569278,45013,135034,180047,740,=+AG44-AE44,68516,322,114,=+AK44-AH44-AI44,16521,=AG44+AK44,141,181,25,715,65,13.9,21.1,69.9,20.5,9.59999999999999,0,0,0,1,0,0,6603,15998,22601,6473,871,20049,27393,613158,106790,5777,725725,192392,225319,70,417781,84136,59239,6057,16894,1309832,24812,25975,22.78,1.93,0.443,0.834,220.25,4953,42146,117.520049352252, AAA
"""",TEXAS,"""",1988,36718.22,289009,94351.33,369738.5,268601,143000000,2980000000,1180000000,299955,715039,1014994,34146,107606,141752,156428,807390,963818,162540,355502,518042,456383,1522429,1978812,196686,463108,659794,2203,=+AG45-AE45,215010,1031,1212,=+AK45-AH45-AI45,79132,=AG45+AK45,555,476,45,2158,60.5,20.4,19.1,73.2,19.8,7,0,0,0,1,0,0,12612,44556,57168,23998,15234,66929,106161,1701015,578592,3282,2282889,564131,898897,67,1463095,473048,804375,351868,246617,5621892,24957,25297,31.76,2.66,0.322,0.748,221.41,17349,268601,64.5902286290818,  AA
"""",UTAH,"""",1988,4317.48,22374,12235.57,23711.81,84904,2650000,269000000,120000000,47041,69962,117003,13300,11140,24440,36446,77545,113991,12500,20560,33060,83487,147507,230994,25800,31700,57500,769,=+AG46-AE46,34402,168,9,=+AK46-AH46-AI46,6106,=AG46+AK46,111,57,17,752,60.6,21.6,17.8,73.6,20.7,5.70000000000001,0,0,0,0,0,0,2309,3633,5942,3321,90,6954,10365,182428,68600,5782,256810,59893,72110,1471,133474,40831,33745,0,0,464860,24221,25060,24.44,2.63,0.466,1.481,208.36,1770,84904,20.8470743427872, AAA
"""",VERMONT,"""",1988,1819.61,8834,2951.11,7667.97,9615,2032000,82864000,83575000,1240,46248,47488,195,743,938,13511,48863,62374,1432,7378,8810,14751,95111,109862,1627,8121,9748,280,=+AG47-AE47,12842,40,20,=+AK47-AH47-AI47,1324,=AG47+AK47,0,40,0,280,80.1,14.8,5.10000000000001,79.7,16,4.3,0,0,0,0,0,1,1011,3304,4315,284,51,1369,1704,87148,36942,0,124090,36024,54112,15,90151,15067,21072,2015,5990,258385,24989,25253,32.83,2.13,0.491,0.82,263.2,567,9615,58.9703588143526,  AA
"""",VIRGINIA,"""",1988,14931.72,99942,29694.37,79632.23,42769,140000000,1110000000,602000000,60013,336862,396875,34331,171618,205949,46316,182575,228891,66071,157167,223238,106329,519437,625766,100402,328785,429187,788,=+AG48-AE48,52848,318,194,=+AK48-AH48-AI48,15581,=AG48+AK48,138,180,118,670,68.8,16.6,14.6,78.1,16.6,5.3,0,0,0,1,0,0,7511,22259,29770,8174,2263,23240,33677,649972,202473,8895,861340,468402,187345,30,655777,143235,168008,99058,190483,2117901,29028,29528,25.33,2.72,0.495,0.795,269.71,6286,42769,146.975613177769, AAA
"""",WASHINGTON,"""",1988,12142.25,71593,41994.39,72362.78,71303,30019000,689000000,348000000,222494,192792,415286,9553,21089,30642,26177,234796,260973,7031,26629,33660,248671,427588,676259,16584,47718,64302,501,=+AG49-AE49,62210,262,302,=+AK49-AH49-AI49,17218,=AG49+AK49,158,104,96,405,64.9,24.6,10.5,70,25.6,4.4,0,0,0,0,0,0,3563,13129,16692,8350,3841,20503,32694,501683,332102,3923,837708,193795,267382,2431,463608,239299,173064,72751,95899,1882329,29721,30132,28.29,2.37,0.524,0.976,306.82,5018,71303,70.3757205166683,  AA
"""",WEST_VIRGINIA,"""",1988,7562.87,23738,10902.86,37422.09,24231,9978000,258000000,193000000,18925,120989,139914,5204,59219,64423,37245,290280,327525,15215,65377,80592,56170,411269,467439,20419,124596,145015,456,=+AG50-AE50,31908,94,9,=+AK50-AH50-AI50,3137,=AG50+AK50,9,85,23,433,70.1,12.9,17,72.9,15,12.1,0,0,0,1,0,0,2979,8853,11832,1169,414,3063,4646,356770,13858,134,370762,161301,48540,41,209882,31528,38247,29209,41355,720983,23614,23939,26.51,3.04,0.535,0.961,305.65,1801,24231,74.3262762576864,  A1
"""",WISCONSIN,"""",1988,10981.49,75299,26585.22,65617.75,65503,2703000,611000000,470000000,26875,205270,232145,1390,9528,10918,36422,381434,417856,4988,57700,62688,63297,586704,650001,6378,67228,73606,495,=+AG51-AE51,95387,143,178,=+AK51-AH51-AI51,15591,=AG51+AK51,56,87,50,445,77,9.7,13.3,76.5,14.2,9.3,0,0,0,0,1,0,4236,20781,25017,2988,2216,17407,22611,626822,384652,1,1011475,116788,423045,1569,541402,128447,261228,72021,135877,2150450,27228,27826,2.08,1.65,0.44,1.083,171.78,4955,65503,75.6453902874678,  AA
"""",WYOMING,"""",1988,3571.6,10511,6117.12,24963.6,97818,2105000,183000000,81656000,2778,22867,25645,791,1731,2522,39675,93466,133141,5815,21789,27604,42453,116333,158786,6606,23520,30126,827,=+AG52-AE52,35256,87,3,=+AK52-AH52-AI52,2386,=AG52+AK52,0,87,0,827,41.2,24.4,34.4,55.1,34.7,10.2,0,0,0,0,0,0,1746,2858,4604,261,8,1344,1613,127015,34114,12506,173635,52018,34989,900,87907,24522,23896,187,1159,311306,23275,23522,18.08,1.26,0.555,0.555,268,460,97818,4.70261097139586,   X
