,STATE,,YEAR,HIGHWAY,GSP,TOTPUB,PVTCAP,AREA,ROW,TCAP,TMANT,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,MILTOTTOT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,CSTADMHWY,CLOCADMRD,CFEDROAD,CTOTAL,MSTADMHWY,MLOCADMRD,MREDROAD,MTOTAL,ADM_MISC,LAW_SAFETY,INTEREST,BONDRETIRE,TOTALDISB,PGOVSAL93,PGOVSAL94,PBITCONC93,PEXCAV93,PREINFSTL93,PSTRUCTSTL93,PSTRUCCON93,POP90(THSD),SQMILES,POPDENS=LAND,BONDRATE (Moody's)
"""",GEORGIA,"""",1988,12440.08,99059,34290.46,93342.2,59441,77468000,741000000,530000000,169131,255256,424387,6644,44293,50937,56115,257194,313309,6110,106470,112580,225246,512450,737696,12754,150763,163517,809,=+AG12-AE12,84605,434,167,=+AK12-AH12-AI12,26274,=AG12+AK12,271,163,115,694,61.1,19.3,19.6,66.7,24.9,8.4,0,0,0,1,0,0,8419,23753,32172,11889,1646,32197,45732,699149,174244,724,874117,185909,260614,15,446538,113627,127181,46645,300966,1909074,24431,24890,30.47,2.14,0.399,0.868,308.24,6623,59441,111.421409464848, AAA
"""",HAWAII,"""",0,0,0,0,0,0,0,0,0,191402,39912,231314,1960,4246,6206,20447,51985,72432,700,8175,8875,211849,91897,303746,2660,12421,15081,0,=+AG13-AE13,2307,44,53,=+AK13-AH13-AI13,1799,=AG13+AK13,38,6,0,0,100,0,0,79.3,20.1,0.600000000000001,0,0,0,0,0,0,0,2148,2148,1533,804,3581,5918,316797,23410,263,340470,19793,50294,0,70087,38613,16365,18968,22637,507140,30420,31136,65.14,18.58,0.585,0.585,616.43,1135,6470,175.425038639876,  AA
"""",IDAHO,"""",1988,3010.18,12432,5118.46,14216.9,83574,5106000,186000000,116000000,762,7891,8653,346,824,1170,41236,75044,116280,2307,17980,20287,41998,82935,124933,2653,18804,21457,532,=+AG14-AE14,55419,79,0,=+AK14-AH14-AI14,3416,=AG14+AK14,2,77,0,532,47.8,31.5,20.7,61,31.3,7.7,0,0,0,0,0,0,1667,5540,7207,741,0,2816,3557,111528,42830,6609,160967,49296,84059,1212,134567,43930,14397,341,545,354747,22276,23261,21.82,2.79,0.482,0.714,242.58,1039,83574,12.4320961064446,   X
"""",ILLINOIS,"""",1988,28835.59,200874,66247.07,179351,57918,45186000,1580000000,810000000,365359,334974,700333,36813,124266,161079,212843,556580,769423,21476,74427,95903,578202,891554,1469756,58289,198693,256982,1421,=+AG15-AE15,101784,630,80,=+AK15-AH15-AI15,35181,=AG15+AK15,311,319,28,1393,64.7,12.8,22.5,78.1,14.9,7.00000000000001,0,0,0,0,1,0,8428,19826,28254,14447,1047,43894,59388,1443338,507931,56,1951325,291073,701587,490,993150,260011,126439,129070,115485,3575480,29712,30507,29.97,4.26,0.605,0.868,387.64,11543,57918,199.299008943679,  A1
"""",INDIANA,"""",1988,10713.72,82918,25296.76,93894.82,36420,15829000,538000000,413000000,92677,234936,327613,8989,26980,35969,130626,177392,308018,38619,114821,153440,223303,412328,635631,47608,141801,189409,825,=+AG16-AE16,73112,313,135,=+AK16-AH16-AI16,19262,=AG16+AK16,127,186,37,788,59.2,16.3,24.5,68.7,16.8,14.5,0,0,0,0,1,0,6646,22606,29252,5537,774,21509,27820,567006,218588,0,785594,201342,214625,510,416477,195916,41838,52231,12687,1504743,25309,25876,22.9,6.97,0.474,0.811,295.89,5610,36420,154.036243822076,   X
"""",IOWA,"""",1988,10535.56,40546,18590.01,45936.2,56276,14834000,451000000,357000000,43819,76501,120320,3325,5805,9130,72276,220044,292320,12509,37006,49515,116095,296545,412640,15834,42811,58645,636,=+AG17-AE17,103490,147,0,=+AK17-AH17-AI17,9218,=AG17+AK17,45,102,30,606,58.5,13.3,28.2,71.8,12.9,15.3,0,0,0,0,1,0,3406,11958,15364,1554,0,7008,8562,400691,225814,9,626514,100801,317012,25,417838,95273,66895,23439,53258,1283217,24183,24735,22.93,2.17,0.43,0.782,242.23,2795,56276,49.6659321913427,   X
"""",KANSAS,"""",1988,7667.17,39640,15429.52,52841.45,82282,5351000,324000000,334000000,42397,72203,114600,14987,16041,31028,34629,284369,318998,17531,41016,58547,77026,356572,433598,32518,57057,89575,698,=+AG18-AE18,123676,173,128,=+AK18-AH18-AI18,9580,=AG18+AK18,73,100,0,698,62.8,18,19.2,69.1,25.5,5.40000000000001,0,0,0,0,1,0,2573,10317,12890,2233,905,8135,11273,352267,112971,2,465240,81227,195447,490,277164,183109,275074,44942,142628,1388157,22923,23243,24.42,2.15,0.553,0.755,279.65,2495,82282,30.3225492817384,   X
"""",KENTUCKY,"""",1988,12137.85,52388,21031.07,55668.5,40411,29127000,643000000,222000000,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,"""NA",=#REF!,NA,NA,=#REF!,NA,"""NA",=#REF!,NA,NA,=#REF!,NA,540,=+AG19-AE19,62493,221,93,=+AK19-AH19-AI19,10139,=AG19+AK19,85,136,27,513,55.1,23.9,21,68,25.4,6.6,0,0,0,1,0,0,4737,16656,21393,4384,559,11726,16669,683377,157425,2502,843304,152045,111117,41,263203,88047,109820,103564,143452,1551390,23908,24444,28.41,7.43,0.513,0.792,307.8,3713,40411,91.8809235109252,  AA
"""",LOUISIANA,"""",1988,13572.38,72105,27147.89,129066.9,51843,64882000,591000000,188000000,94588,238373,332961,2688,7909,10597,56281,209593,265874,1136,59761,60897,150869,447966,598835,3824,67670,71494,608,=+AG20-AE20,45833,263,45,=+AK20-AH20-AI20,13766,=AG20+AK20,87,176,7,601,57,27.1,15.9,63.8,25,11.2,0,0,0,1,0,0,4197,12860,17057,3847,488,12463,16798,650766,154691,104,805561,59191,194618,210,254019,85661,116970,107470,107504,1477185,22383,22775,28.62,5.79,0.325,0.685,215.76,4252,51843,82.0168585922883,BAA1
"""",MAINE,"""",1988,2547.35,17896,5147.52,15292.81,35387,2722000,117000000,176000000,4420,50380,54800,363,7371,7734,22864,60801,83665,18472,50372,68844,27284,111181,138465,18835,57743,76578,312,=+AG21-AE21,19927,54,17,=+AK21-AH21-AI21,2583,=AG21+AK21,1,53,13,299,62.5,26.1,11.4,74.7,22,3.3,0,0,0,0,0,1,1725,7239,8964,480,95,2612,3187,143850,15420,446,159716,114900,98260,153,213313,17086,42300,12015,15933,460363,24466,25076,24.53,4.24,0.811,0.806,300.09,1235,35387,34.8998219685195,  AA
