State,Stock Capital 1988 (millions),CAPTOTTOT (thousands),MNTTOTTOT (thousands),ADM_MISC (thousands),LAW_SAFETY (thousands),INTEREST (thousands),BONDRETIRE (thousands),,,,Cc,Cm,Cl,LRTE,SRTE
Idaho,3010.18,124933,21457,43930,14397,341,545,,,0.0525,=1.2*K14*B14*1000,=+D14,=+E14+F14,=+L14+M14+N14,=+M14+N14
Illinois,28835.59,1469756,256982,260011,126439,129070,115485,,,0.0535,=1.2*K15*B15*1000,=+D15,=+E15+F15,=+L15+M15+N15,=+M15+N15
Indiana,10713.72,635631,189409,195916,41838,52231,12687,,,0.0525,=1.2*K16*B16*1000,=+D16,=+E16+F16,=+L16+M16+N16,=+M16+N16
Iowa,10535.56,412640,58645,95273,66895,23439,53258,,,0.0525,=1.2*K17*B17*1000,=+D17,=+E17+F17,=+L17+M17+N17,=+M17+N17
Kansas,7667.17,433598,89575,183109,275074,44942,142628,,,0.0525,=1.2*K18*B18*1000,=+D18,=+E18+F18,=+L18+M18+N18,=+M18+N18
Kentucky,12137.85,NA,NA,88047,109820,103564,143452,,,0.0515,=1.2*K19*B19*1000,=+D19,=+E19+F19,=+L19+M19+N19,=+M19+N19
Louisiana,13572.38,598835,71494,85661,116970,107470,107504,,,0.0595,=1.2*K20*B20*1000,=+D20,=+E20+F20,=+L20+M20+N20,=+M20+N20
Maine,2547.35,138465,76578,17086,42300,12015,15933,,,0.0515,=1.2*K21*B21*1000,=+D21,=+E21+F21,=+L21+M21+N21,=+M21+N21
Maryland,11768.02,471633,100747,108364,161614,81688,330508,,,0.0475,=1.2*K22*B22*1000,=+D22,=+E22+F22,=+L22+M22+N22,=+M22+N22
Massachusetts,9194.59,NA,NA,214814,177051,174108,245634,,,0.0535,=1.2*K23*B23*1000,=+D23,=+E23+F23,=+L23+M23+N23,=+M23+N23
Michigan,18795.61,561494,94263,205891,201637,35674,44873,,,0.0535,=1.2*K24*B24*1000,=+D24,=+E24+F24,=+L24+M24+N24,=+M24+N24
Minnesota,13417.77,608127,97845,146484,180927,56605,127591,,,0.0495,=1.2*K25*B25*1000,=+D25,=+E25+F25,=+L25+M25+N25,=+M25+N25
Mississippi,6702.66,433576,37830,33114,64869,31566,57622,,,0.0515,=1.2*K26*B26*1000,=+D26,=+E26+F26,=+L26+M26+N26,=+M26+N26
Missouri,11494.67,500132,155672,177283,124228,11715,19421,,,0.0475,=1.2*K27*B27*1000,=+D27,=+E27+F27,=+L27+M27+N27,=+M27+N27
Montana ,4165.41,190349,18401,16843,19424,13958,1723,,,0.0515,=1.2*K28*B28*1000,=+D28,=+E28+F28,=+L28+M28+N28,=+M28+N28
Nebraska,5423.15,272526,36708,43639,42934,15349,27120,,,0.0525,=1.2*K29*B29*1000,=+D29,=+E29+F29,=+L29+M29+N29,=+M29+N29
Nevada,2782.09,NA,NA,23360,24049,12962,16786,,,0.0515,=1.2*K30*B30*1000,=+D30,=+E30+F30,=+L30+M30+N30,=+M30+N30
New  Hampshire,2401.79,171552,58160,96270,46005,21722,4533,,,0.0515,=1.2*K31*B31*1000,=+D31,=+E31+F31,=+L31+M31+N31,=+M31+N31
New  Jersey,15409,1041696,197709,381121,254093,238792,220850,,,0.0495,=1.2*K32*B32*1000,=+D32,=+E32+F32,=+L32+M32+N32,=+M32+N32
New  Mexico,4388.96,316817,52572,65312,26275,2532,2014,,,0.0495,=1.2*K33*B33*1000,=+D33,=+E33+F33,=+L33+M33+N33,=+M33+N33
New  York,37413.16,2205223,287345,616785,283252,586457,409463,,,0.0555,=1.2*K34*B34*1000,=+D34,=+E34+F34,=+L34+M34+N34,=+M34+N34
North  Carolina,10338.95,820790,384228,127094,203642,28870,17703,,,0.0475,=1.2*K35*B35*1000,=+D35,=+E35+F35,=+L35+M35+N35,=+M35+N35
North  Dakota,3129.3,123086,30041,20627,15228,6931,13499,,,0.0515,=1.2*K36*B36*1000,=+D36,=+E36+F36,=+L36+M36+N36,=+M36+N36
Ohio,23735.85,822230,398983,335689,213155,51708,109564,,,0.0515,=1.2*K37*B37*1000,=+D37,=+E37+F37,=+L37+M37+N37,=+M37+N37
Oklahoma,6698.98,333481,85064,191811,41384,56248,85638,,,0.0515,=1.2*K38*B38*1000,=+D38,=+E38+F38,=+L38+M38+N38,=+M38+N38
Oregon,6837.71,317143,136717,64501,73433,14067,24162,,,0.0515,=1.2*K39*B39*1000,=+D39,=+E39+F39,=+L39+M39+N39,=+M39+N39
Pennsylvania,24206.95,1285147,524044,152494,443935,190151,225189,,,0.0535,=1.2*K40*B40*1000,=+D40,=+E40+F40,=+L40+M40+N40,=+M40+N40
Rhode  Island,1980.89,221563,27882,9798,28023,14684,19770,,,0.0535,=1.2*K41*B41*1000,=+D41,=+E41+F41,=+L41+M41+N41,=+M41+N41
South  Carolina,4777.93,406976,127178,52696,86404,917,824,,,0.0475,=1.2*K42*B42*1000,=+D42,=+E42+F42,=+L42+M42+N42,=+M42+N42
South  Dakota,3227.74,189051,31853,21403,30636,843,1813,,,0.0525,=1.2*K43*B43*1000,=+D43,=+E43+F43,=+L43+M43+N43,=+M43+N43
Tennessee,11110.42,569278,180047,84136,59239,6057,16894,,,0.0475,=1.2*K44*B44*1000,=+D44,=+E44+F44,=+L44+M44+N44,=+M44+N44
