STATE,MILEAGE BY TRAFFIC LANES ... (HM-35) p. V19,,,,,,,
,RURAL,,,URBAN,,,,
,INTERSTATE,MILES > 4 lanes,MILES ≤ 4 lanes,INTERSTATE,MILES > 4 lanes,MILES ≤ 4 lanes,,
,MILRURINT,RURMIL+4,RURMIL-4,MILURBINT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4
Alabama,602,0,602,297,43,254,0,602
Alaska,1003,0,1003,54,10,44,0,1003
Arizona,987,0,987,202,54,148,0,987
Arkansas,412,3,409,131,45,86,3,409
California,1356,286,1070,1067,940,127,286,1070
Colorado,768,21,747,186,62,124,21,747
Connecticut,101,22,79,242,168,74,22,79
Delaware,0,0,0,41,30,11,0,0
Dist.  of  Col.,0,0,0,14,10,4,0,0
Florida,1019,100,919,424,205,219,100,919
Georgia,809,115,694,434,271,163,115,694
Hawaii,0,0,0,44,38,6,0,0
Idaho,532,0,532,79,2,77,0,532
Illinois,1421,28,1393,630,311,319,28,1393
Indiana,825,37,788,313,127,186,37,788
Iowa,636,30,606,147,45,102,30,606
Kansas,698,0,698,173,73,100,0,698
Kentucky,540,27,513,221,85,136,27,513
Louisiana,608,7,601,263,87,176,7,601
Maine,312,13,299,54,1,53,13,299
Maryland,227,123,104,255,187,68,123,104
Massachusetts,162,59,103,403,323,80,59,103
Michigan,741,92,649,499,301,198,92,649
Minnesota,681,20,661,233,106,127,20,661
Mississippi,558,0,558,127,0,127,0,558
Missouri,812,5,807,366,210,156,5,807
Montana ,1137,0,1137,53,0,53,0,1137
Nebraska,437,0,437,44,11,33,0,437
Nevada,480,0,480,65,20,45,0,480
New  Hampshire,176,21,155,48,13,35,21,155
New  Jersey,113,56,57,300,246,54,56,57
New  Mexico,907,10,897,91,26,65,10,897
New  York,797,52,745,703,385,318,52,745
North  Carolina,633,18,615,337,87,250,18,615
North  Dakota,531,0,531,40,3,37,0,531
Ohio,847,15,832,726,212,514,15,832
Oklahoma,715,0,715,214,72,142,0,715
Oregon,581,21,560,146,58,88,21,560
Pennsylvania,1079,18,1061,509,111,398,18,1061
Rhode  Island,21,0,21,49,33,16,0,21
South  Carolina,668,16,652,142,51,91,16,652
South  Dakota,631,0,631,47,0,47,0,631
Tennessee,740,25,715,322,141,181,25,715
Texas,2203,45,2158,1031,555,476,45,2158
Utah,769,17,752,168,111,57,17,752
Vermont,280,0,280,40,0,40,0,280
Virginia,788,118,670,318,138,180,118,670
Washington,501,96,405,262,158,104,96,405
West  Virginia,456,23,433,94,9,85,23,433
Wisconsin,495,50,445,143,56,87,50,445
Wyoming,827,0,827,87,0,87,0,827
Undistributed,,,,,,,,
Total,32622,1589,31033,12878,6230,6648,1589,31033
