,STATE,,YEAR,HIGHWAY,GSP,TOTPUB,PVTCAP,AREA,ROW,TCAP,TMANT
"""",ALABAMA,"""",1988,8905.74,53547,20204.46,66008.17,52423,41714000,470000000,342000000
"""",ALASKA,"""",1988,0,0,0,0,0,0,0,0
"""",ARIZONA,"""",1988,7955.02,50630,23693.97,48932.84,114006,216000000,1070000000,199000000
"""",ARKANSAS,"""",1988,4829.36,29802,10411.96,34924.26,53182,11366000,307000000,197000000
"""",CALIFORNIA,"""",1988,42835.42,528674,145321.6,400653.1,163707,244000000,2220000000,1560000000
"""",COLORADO,"""",1988,6574.39,52117,20639.31,51304.57,104100,34119000,536000000,312000000
"""",CONNECTICUT,"""",1988,7236.71,70125,17871.09,46318.68,5544,20418000,537000000,259000000
"""",DELAWARE,"""",1988,2112.78,11427,4681.46,12209.28,2489,22363000,157000000,49904000
"""",DISTRICT_OF_COL,"""",0,0,0,0,0,0,0,0,0
"""",FLORIDA,"""",1988,19987.9,170213,59950.37,154057.4,65758,247000000,1880000000,801000000
"""",GEORGIA,"""",1988,12440.08,99059,34290.46,93342.2,59441,77468000,741000000,530000000
"""",HAWAII,"""",0,0,0,0,0,0,0,0,0
"""",IDAHO,"""",1988,3010.18,12432,5118.46,14216.9,83574,5106000,186000000,116000000
"""",ILLINOIS,"""",1988,28835.59,200874,66247.07,179351,57918,45186000,1580000000,810000000
"""",INDIANA,"""",1988,10713.72,82918,25296.76,93894.82,36420,15829000,538000000,413000000
"""",IOWA,"""",1988,10535.56,40546,18590.01,45936.2,56276,14834000,451000000,357000000
"""",KANSAS,"""",1988,7667.17,39640,15429.52,52841.45,82282,5351000,324000000,334000000
"""",KENTUCKY,"""",1988,12137.85,52388,21031.07,55668.5,40411,29127000,643000000,222000000
"""",LOUISIANA,"""",1988,13572.38,72105,27147.89,129066.9,51843,64882000,591000000,188000000
"""",MAINE,"""",1988,2547.35,17896,5147.52,15292.81,35387,2722000,117000000,176000000
"""",MARYLAND,"""",1988,11768.02,73671,31062.85,56167.54,12407,105000000,1020000000,296000000
"""",MASSACHUSETTS,"""",1988,9194.59,116523,32265.09,80736.98,10555,48478000,857000000,400000000
"""",MICHIGAN,"""",1988,18795.61,145444,49760.76,137614.7,96810,27093000,670000000,741000000
"""",MINNESOTA,"""",1988,13417.77,73407,30670.27,66077.3,86943,50735000,982000000,493000000
"""",MISSISSIPPI,"""",1988,6702.66,31247,12439.9,35823.48,48434,16691000,353000000,241000000
"""",MISSOURI,"""",1988,11494.67,77844,24607.52,75102.29,69709,24073000,537000000,424000000
"""",MONTANA,"""",1988,4165.41,10336,6209.03,19331.31,147046,12105000,236000000,75017000
"""",NEBRASKA,"""",1988,5423.15,23621,14873.69,29966.97,77358,9036000,289000000,160000000
"""",NEVADA,"""",1988,2782.09,19384,6537.47,25760.58,110567,12154000,188000000,76017000
"""",NEW_HAMPSHIRE,"""",1988,2401.79,20324,4541.76,13374.03,9351,12158000,117000000,146000000
"""",NEW_JERSEY,"""",1988,15409,155077,37458.49,111049,8722,70674000,691000000,537000000
"""",NEW_MEXICO,"""",1988,4388.96,21618,9192.05,29698.23,121598,15861000,258000000,111000000
"""",NEW_YORK,"""",1988,37413.16,334914,136677.7,234991.6,54475,26813000,2000000000,1740000000
"""",NORTH_CAROLINA,"""",1988,10338.95,96632,27589.03,92268.96,53821,78438000,648000000,451000000
"""",NORTH_DAKOTA,"""",1988,3129.3,8601,5019.72,20859.28,70704,1181000,144000000,89492000
"""",OHIO,"""",1988,23735.85,170707,56826.91,152935.7,44828,29341000,1030000000,693000000
"""",OKLAHOMA,"""",1988,6698.98,45128,16765.62,64872.43,69903,9097000,453000000,270000000
"""",OREGON,"""",1988,6837.71,39101,16140.43,40897.2,98386,22951000,427000000,244000000
"""",PENNSYLVANIA,"""",1988,24206.95,177793,59912.6,162151.9,46058,62654000,1500000000,1080000000
"""",RHODE_ISLAND,"""",1988,1980.89,14517,4332.13,9424.25,1545,5917000,168000000,26137000
"""",SOUTH_CAROLINA,"""",1988,4777.93,44895,14869.23,52312.05,32007,18495000,335000000,195000000
"""",SOUTH_DAKOTA,"""",1988,3227.74,8284,5421.95,11763.85,77121,2352000,173000000,89132000
"""",TENNESSEE,"""",1988,11110.42,72003,26911.07,71707.9,42146,38611000,724000000,352000000
"""",TEXAS,"""",1988,36718.22,289009,94351.33,369738.5,268601,143000000,2980000000,1180000000
"""",UTAH,"""",1988,4317.48,22374,12235.57,23711.81,84904,2650000,269000000,120000000
"""",VERMONT,"""",1988,1819.61,8834,2951.11,7667.97,9615,2032000,82864000,83575000
"""",VIRGINIA,"""",1988,14931.72,99942,29694.37,79632.23,42769,140000000,1110000000,602000000
"""",WASHINGTON,"""",1988,12142.25,71593,41994.39,72362.78,71303,30019000,689000000,348000000
"""",WEST_VIRGINIA,"""",1988,7562.87,23738,10902.86,37422.09,24231,9978000,258000000,193000000
"""",WISCONSIN,"""",1988,10981.49,75299,26585.22,65617.75,65503,2703000,611000000,470000000
"""",WYOMING,"""",1988,3571.6,10511,6117.12,24963.6,97818,2105000,183000000,81656000
