ILLINOIS 1988 28835.59 200874 66247.07 179351 57918 45186000 1.58E+09 8.10E+08	"Illinois"	365359	334974	700333	36813	124266	161079	212843	556580	769423	21476	74427	95903	578202	891554	1469756	58289	198693	256982	1421	100363	101784	630	80	136255	136965	311	319	28	1393	64.7	12.8	22.5	78.1	14.9	7	0	0	0	0	1	0	8428	19826	28254	14447	1047	43894	59388	1	507	56	1	291	701	490	993	260	126	129	115	3	2384600
INDIANA 1988 10713.72 82918 25296.76 93894.82 36420 15829000 5.38E+08 4.13E+08	"Indiana"	92677	234936	327613	8989	26980	35969	130626	177392	308018	38619	114821	153440	223303	412328	635631	47608	141801	189409	825	72287	73112	313	135	91926	92374	127	186	37	788	59.2	16.3	24.5	68.7	16.8	14.5	0	0	0	0	1	0	6646	22606	29252	5537	774	21509	27820	567	218	0	785	201	214	510	416	195	41	52	12	1	773302
IOWA 1988 10535.56 40546 18590.01 45936.2 56276 14834000 4.51E+08 3.57E+08	"Iowa"	43819	76501	120320	3325	5805	9130	72276	220044	292320	12509	37006	49515	116095	296545	412640	15834	42811	58645	636	102854	103490	147	0	112561	112708	45	102	30	606	68.5	3.3	28.2	81.8	2.9	15.3	0	0	0	0	1	0	3406	11958	15364	1554	0	7008	8562	400	225	9	626	100	317	25	417	95	66	23	53	1	448315
KANSAS 1988 7667.17 39640 15429.52 52841.45 82282 5351000 3.24E+08 3.34E+08	"Kansas"	42397	72203	114600	14987	16041	31028	34629	284369	318998	17531	41016	58547	77026	356572	433598	32518	57057	89575	698	122978	123676	173	128	132955	133256	73	100	0	698	62.8	18	19.2	69.1	25.5	5.4	0	0	0	0	1	0	2573	10317	12890	2233	905	8135	11273	352	112	2	465	81	195	490	277	183	275	44	142	1	529601
KENTUCKY 1988 12137.85 52388 21031.07 55668.5 40411 29127000 6.43E+08 2.22E+08	"Kentucky"	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	540	61953	62493	221	93	72318	72632	85	136	27	513	55.1	23.9	21	68	25.4	6.6	0	0	0	1	0	0	4737	16656	21393	4384	559	11726	16669	683	157	2	843	152	111	41	263	88	109	103	143	1	%
LOUISIANA 1988 13572.38 72105 27147.89 129066.9 51843 64882000 5.91E+08 1.88E+08	"Louisiana"	94588	238373	332961	2688	7909	10597	56281	209593	265874	1136	59761	60897	150869	447966	598835	3824	67670	71494	608	45225	45833	263	45	59291	59599	87	176	7	601	57	27.1	15.9	63.8	25	11.2	0	0	0	1	0	0	4197	12860	17057	3847	488	12463	16798	650	154	104	805	59	194	210	254	85	116	107	107	1	464252
MAINE 1988 2547.35 17896 5147.52 15292.81 35387 2722000 1.17E+08 1.76E+08	"Maine"	4420	50380	54800	363	7371	7734	22864	60801	83665	18472	50372	68844	27284	111181	138465	18835	57743	76578	312	19615	19927	54	17	22439	22510	1	53	13	299	62.5	26.1	11.4	74.7	22	3.3	0	0	0	0	0	1	1725	7239	8964	480	95	2612	3187	143	15	446	159	114	98	153	213	17	42	12	15	460	101764
MARYLAND 1988 11768.02 73671 31062.85 56167.54 12407 1.05E+08 1.02E+09 2.96E+08	"Maryland"	79085	154176	233261	6980	84597	91577	113671	124701	238372	6588	2582	9170	192756	278877	471633	13568	87179	100747	227	15415	15642	255	224	28834	29313	187	68	123	104	63.7	17.2	19.1	65.3	33.5	1.2	0	0	0	1	0	0	2913	9889	12802	9086	3406	16602	29094	511	232	14	758	149	200	0	349	108	161	81	330	1	130614
MASSACHUSETTS 1988 9194.59 116523 32265.09 80736.98 10555 48478000 8.57E+08 4.00E+08	"Massachusetts"	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	162	10765	10927	403	199	29961	30563	323	80	59	103	74.8	15.5	9.7	85.4	11	3.6	0	0	0	0	0	1	2176	6615	8791	10733	4490	23334	38557	871	141	40	1	146	244	0	390	214	177	174	245	2	%
MICHIGAN 1988 18795.61 145444 49760.76 137614.7 96810 27093000 6.70E+08 7.41E+08	"Michigan"	261891	64799	326690	44295	9639	53934	71861	162943	234804	13758	26571	40329	333752	227742	561494	58053	36210	94263	741	88744	89485	499	221	116939	117659	301	198	92	649	72.2	18.6	9.2	72.7	19.5	7.8	0	0	0	0	1	0	5614	25620	31234	12601	3965	36419	52985	546	276	31	823	138	642	300	782	205	201	35	44	2	810972
MINNESOTA 1988 13417.77 73407 30670.27 66077.3 86943 50735000 9.82E+08 4.93E+08	"Minnesota"	75321	372047	447368	6115	34480	40595	14920	145839	160759	5342	51908	57250	90241	517886	608127	11457	86388	97845	681	114392	115073	233	130	129596	129959	106	127	20	661	86.4	2.7	10.9	93.1	2.5	4.4	0	0	0	0	1	0	3201	16769	19970	5320	2216	13656	21192	587	689	163	1	144	395	1	541	146	180	56	127	2	539082
MISSISSIPPI 1988 6702.66 31247 12439.9 35823.48 48434 16691000 3.53E+08 2.41E+08	"Mississippi"	29423	91401	120824	770	2241	3011	33549	279203	312752	3231	31588	34819	62972	370604	433576	4001	33829	37830	558	64372	64930	127	40	72667	72834	0	127	0	558	63.9	17.2	18.9	68.1	16.3	15.6	0	0	0	1	0	0	2951	14570	17521	1383	185	7150	8718	332	119	3	455	54	188	591	243	33	64	31	57	886	340787
MISSOURI 1988 11494.67 77844 24607.52 75102.29 69709 24073000 5.37E+08 4.24E+08	"Missouri"	77983	107018	185001	22339	13394	35733	60904	254227	315131	16829	103110	119939	138887	361245	500132	39168	116504	155672	812	104825	105637	366	276	121145	121787	210	156	5	807	63.7	12	24.3	80.2	14.6	5.2	0	0	0	0	1	0	5504	19464	24968	8497	2326	17463	28286	464	199	1	665	210	222	8	433	177	124	11	19	1	737327
MONTANA 1988 4165.41 10336 6209.03 19331.31 147046 12105000 2.36E+08 75017000	"Montana"	4706	35328	40034	485	2123	2608	33598	116717	150315	3520	12273	15793	38304	152045	190349	4005	14396	18401	1137	66251	67388	53	0	69715	69768	0	53	0	1137	53.1	31.6	15.3	67.5	22.9	9.6	0	0	0	0	0	0	1928	4574	6502	184	0	1839	2023	191	57	9	257	42	21	4	67	16	19	13	1	377	1297475
NEBRASKA 1988 5423.15 23621 14873.69 29966.97 77358 9036000 2.89E+08 1.60E+08	"Nebraska"	25688	33785	59473	469	7711	8180	35102	177951	213053	3277	25251	28528	60790	211736	272526	3746	32962	36708	437	87211	87648	44	11	92647	92702	11	33	0	437	50.3	23.6	26.1	68.8	25.5	5.7	0	0	0	0	1	0	1994	6966	8960	734	93	4834	5661	244	192	34	471	51	126	444	179	43	42	15	27	779	216657
NEVADA 1988 2782.09 19384 6537.47 25760.58 110567 12154000 1.88E+08 76017000	"Nevada"	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	480	40701	41181	65	32	45681	45778	20	45	0	480	69.5	4.3	26.2	91.1	3.2	5.7	0	0	0	0	0	0	1522	2957	4479	1147	579	4692	6418	168	10	2	181	58	14	1	74	23	24	12	16	333	%
NEW_HAMPSHIRE 1988 2401.79 20324 4541.76 13374.03 9351 12158000 1.17E+08 1.46E+08	"New_Hampshire"	12430	58654	71084	555	9422	9977	39037	61431	100468	3699	44484	48183	51467	120085	171552	4254	53906	58160	176	11893	12069	48	40	14850	14938	13	35	21	155	74.5	21.8	3.7	69.3	27	3.7	0	0	0	0	0	1	1330	5025	6355	712	448	2552	3712	86	37	0	124	98	66	106	165	96	46	21	4	458	43406
NEW_JERSEY 1988 15409 155077 37458.49 111049 8722 70674000 6.91E+08 5.37E+08	"New_Jersey"	498494	436924	935418	38105	129416	167521	10398	95880	106278	4801	25387	30188	508892	532804	1041696	42906	154803	197709	113	10955	11068	300	306	34491	35097	246	54	56	57	72.5	16.3	11.2	74.4	17.7	7.9	0	0	0	0	0	1	2124	9726	11850	8110	5734	33716	47560	1	100	0	1	358	342	0	701	381	254	238	220	3	511263
NEW_MEXICO 1988 4388.96 21618 9192.05 29698.23 121598 15861000 2.58E+08 1.11E+08	"New_Mexico"	27850	49279	77129	%	%	%	63130	176558	239688	%	%	%	90980	225837	316817	%	%	52572	907	54054	54961	91	3	60718	60812	26	65	10	897	63.6	15.3	21.1	66	14.7	19.3	0	0	0	0	0	0	3659	7989	11648	1202	2	5600	6804	245	38	6	290	63	38	5	107	65	26	2	2	494	850499
NEW_YORK 1988 37413.16 334914 136677.7 234991.6 54475 26813000 2.00E+09 1.74E+09	"New_York"	659716	1156753	1816469	6566	139131	145697	308954	79800	388754	104087	37561	141648	968670	1236553	2205223	110653	176692	287345	797	71792	72589	703	857	110322	111882	385	318	52	745	69.5	16.3	14.2	77.4	17.2	5.4	0	1	0	0	0	1	5381	24961	30342	14475	14327	50737	79539	1	1	176	2	606	1	200	2	616	283	586	409	6	1294925
NORTH_CAROLINA 1988 10338.95 96632 27589.03 92268.96 53821 78438000 6.48E+08 4.51E+08	"North_Carolina"	64284	356506	420790	2913	285614	288527	95113	304887	400000	8739	86962	95701	159397	661393	820790	11652	372576	384228	633	73672	74305	337	260	95431	96028	87	250	18	615	70.9	7.1	22	74.5	14.3	11.2	0	0	0	1	0	0	6237	27529	33766	6050	2464	25258	33772	772	127	10	910	362	86	1	449	127	203	28	17	1	464973
NORTH_DAKOTA 1988 3129.3 8601 5019.72 20859.28 70704 1181000 1.44E+08 89492000	"North_Dakota"	12595	38445	51040	244	1285	1529	19318	52728	72046	3279	25233	28512	31913	91173	123086	3523	26518	30041	531	84378	84909	40	0	86687	86727	3	37	0	531	64.6	21.1	14.3	73.3	19.6	7.1	0	0	0	0	0	0	1012	3485	4497	188	0	1387	1575	93	45	15	138	34	50	2	86	20	15	6	13	281	294556
OHIO 1988 23735.85 170707 56826.91 152935.7 44828 29341000 1.03E+09 6.93E+08	"Ohio"	221034	317734	538768	18514	67884	86398	87218	196244	283462	27324	285261	312585	308252	513978	822230	45838	353145	398983	847	81408	82255	726	381	112716	113823	212	514	15	832	67.2	12.6	20.2	79.7	12.2	8.1	0	0	0	0	1	0	8276	29153	37429	15929	3608	38255	57792	679	401	211	1	460	504	23	964	335	213	51	109	2	938443
OKLAHOMA 1988 6698.98 45128 16765.62 64872.43 69903 9097000 4.53E+08 2.70E+08	"Oklahoma"	49705	155221	204926	2411	5119	7530	13592	114963	128555	3148	74386	77534	63297	270184	333481	5559	79505	85064	715	98958	99673	214	136	112117	112467	72	142	0	715	62.8	18	19.2	69.1	25.5	5.4	0	0	0	0	0	0	3705	13662	17367	3365	1831	12556	17752	320	113	4	438	88	117	17	206	191	41	56	85	1	560930
OREGON 1988 6837.71 39101 16140.43 40897.2 98386 22951000 4.27E+08 2.44E+08	"Oregon"	20270	141847	162117	9788	49226	59014	36947	118079	155026	18564	59139	77703	57217	259926	317143	28352	108365	136717	581	85427	86008	146	53	95837	96036	58	88	21	560	54.3	29.5	16.2	65.5	28.9	5.6	0	0	0	0	0	0	3812	11724	15536	2966	971	8453	12390	335	201	10	547	120	168	7	296	64	73	14	24	1	357831
PENNSYLVANIA 1988 24206.95 177793 59912.6 162151.9 46058 62654000 1.50E+09 1.08E+09	"Pennsylvania"	315428	409182	724610	12640	342892	355532	295404	265133	560537	43941	124571	168512	610832	674315	1285147	56581	467463	524044	1079	83343	84422	509	485	116044	117038	111	398	18	1061	60.5	16.5	23	73.8	16.2	10	0	0	0	0	0	1	7381	29968	37349	8839	4656	38356	51851	1	125	268	1	764	744	85	1	152	443	190	225	3	1479669
RHODE_ISLAND 1988 1980.89 14517 4332.13 9424.25 1545 5917000 1.68E+08 26137000	"Rhode_Island"	24216	172300	196516	4785	16366	21151	4734	20313	25047	2051	4680	6731	28950	192613	221563	6836	21046	27882	21	1313	1334	49	68	5940	6057	33	16	0	21	74.8	16.9	8.3	79.9	14	6.1	0	0	0	0	0	1	278	851	1129	1407	601	4422	6430	136	4	0	140	23	17	6	40	9	28	14	19	253	24657
SOUTH_CAROLINA 1988 4777.93 44895 14869.23 52312.05 32007 18495000 3.35E+08 1.95E+08	"South_Carolina"	32565	150992	183557	85	111198	111283	25330	198089	223419	0	15895	15895	57895	349081	406976	85	127093	127178	668	52969	53637	142	70	63946	64158	51	91	16	652	70.6	10.6	18.8	76.6	12.1	11.3	0	0	0	1	0	0	5945	15168	21113	2427	589	10920	13936	332	31	28	364	156	43	40	200	52	86	917	824	705	478789
SOUTH_DAKOTA 1988 3227.74 8284 5421.95 11763.85 77121 2352000 1.73E+08 89132000	"South_Dakota"	8696	46384	55080	648	1537	2185	22248	111723	133971	5088	24580	29668	30944	158107	189051	5736	26117	31853	631	80814	81445	47	3	83255	83305	0	47	0	631	72.9	16.4	10.7	80.6	16.9	2.5	0	0	0	0	0	0	1354	4324	5678	229	17	1294	1540	159	68	1	230	33	68	3	105	21	30	843	1	390	406857
TENNESSEE 1988 11110.42 72003 26911.07 71707.9 42146 38611000 7.24E+08 3.52E+08	"Tennessee"	79292	109327	188619	18005	27009	45014	37419	343240	380659	27008	108025	135033	116711	452567	569278	45013	135034	180047	740	67776	68516	322	114	84601	85037	141	181	25	715	65	13.9	21.1	69.9	20.5	9.6	0	0	0	1	0	0	6603	15998	22601	6473	871	20049	27393	613	106	5	725	192	225	70	417	84	59	6	16	1	626892
TEXAS 1988 36718.22 289009 94351.33 369738.5 268601 1.43E+08 2.98E+09 1.18E+09	"Texas"	299955	715039	1014994	34146	107606	141752	156428	807390	963818	162540	355502	518042	456383	1522429	1978812	196686	463108	659794	2203	212807	215010	1031	1212	291899	294142	555	476	45	2158	60.5	20.4	19.1	73.2	19.8	7	0	0	0	1	0	0	12612	44556	57168	23998	15234	66929	106161	1	578	3	2	564	898	67	1	473	804	351	246	5	5153164
UTAH 1988 4317.48 22374 12235.57 23711.81 84904 2650000 2.69E+08 1.20E+08	"Utah"	47041	69962	117003	13300	11140	24440	36446	77545	113991	12500	20560	33060	83487	147507	230994	25800	31700	57500	769	33633	34402	168	9	40331	40508	111	57	17	752	60.6	21.6	17.8	73.6	20.7	5.7	0	0	0	0	0	0	2309	3633	5942	3321	90	6954	10365	182	68	5	256	59	72	1	133	40	33	0	0	464	638402
VERMONT 1988 1819.61 8834 2951.11 7667.97 9615 2032000 82864000 83575000	"Vermont"	1240	46248	47488	195	743	938	13511	48863	62374	1432	7378	8810	14751	95111	109862	1627	8121	9748	280	12562	12842	40	20	14106	14166	0	40	0	280	80.1	14.8	5.1	79.7	16	4.3	0	0	0	0	0	1	1011	3304	4315	284	51	1369	1704	87	36	0	124	36	54	15	90	15	21	2	5	258	79640
VIRGINIA 1988 14931.72 99942 29694.37 79632.23 42769 1.40E+08 1.11E+09 6.02E+08	"Virginia"	60013	336862	396875	34331	171618	205949	46316	182575	228891	66071	157167	223238	106329	519437	625766	100402	328785	429187	788	52060	52848	318	194	67917	68429	138	180	118	670	68.8	16.6	14.6	78.1	16.6	5.3	0	0	0	1	0	0	7511	22259	29770	8174	2263	23240	33677	649	202	8	861	468	187	30	655	143	168	99	190	2	680957
WASHINGTON 1988 12142.25 71593 41994.39 72362.78 71303 30019000 6.89E+08 3.48E+08	"Washington"	222494	192792	415286	9553	21089	30642	26177	234796	260973	7031	26629	33660	248671	427588	676259	16584	47718	64302	501	61709	62210	262	302	78864	79428	158	104	96	405	64.9	24.6	10.5	70	25.6	4.4	0	0	0	0	0	0	3563	13129	16692	8350	3841	20503	32694	501	332	3	837	193	267	2	463	239	173	72	95	1	473495
WEST_VIRGINIA 1988 7562.87 23738 10902.86 37422.09 24231 9978000 2.58E+08 1.93E+08	"West_Virginia"	18925	120989	139914	5204	59219	64423	37245	290280	327525	15215	65377	80592	56170	411269	467439	20419	124596	145015	456	31452	31908	94	9	34942	35045	9	85	23	433	70.1	12.9	17	72.9	15	12.1	0	0	0	1	0	0	2979	8853	11832	1169	414	3063	4646	356	13	134	370	161	48	41	209	31	38	29	41	720	226861
WISCONSIN 1988 10981.49 75299 26585.22 65617.75 65503 2703000 6.11E+08 4.70E+08	"Wisconsin"	26875	205270	232145	1390	9528	10918	36422	381434	417856	4988	57700	62688	63297	586704	650001	6378	67228	73606	495	94892	95387	143	178	110657	110978	56	87	50	445	77	9.7	13.3	76.5	14.2	9.3	0	0	0	0	1	0	4236	20781	25017	2988	2216	17407	22611	626	384	1	1	116	423	1	541	128	261	72	135	2	271900
WYOMING 1988 3571.6 10511 6117.12 24963.6 97818 2105000 1.83E+08 81656000	"Wyoming"	2778	22867	25645	791	1731	2522	39675	93466	133141	5815	21789	27604	42453	116333	158786	6606	23520	30126	827	34429	35256	87	3	37552	37642	0	87	0	827	41.2	24.4	34.4	55.1	34.7	10.2	0	0	0	0	0	0	1746	2858	4604	261	8	1344	1613	127	34	12	173	52	34	900	87	24	23	187	1	311	686707
