,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,CSTADMHWY,CLOCADMRD,CFEDROAD,CTOTAL,MSTADMHWY,MLOCADMRD,MREDROAD,MTOTAL,ADM_MISC,LAW_SAFETY,INTEREST,BONDRETIRE,TOTALDISB
Illinois,365359,334974,700333,36813,124266,161079,212843,556580,769423,21476,74427,95903,578202,891554,1469756,58289,198693,256982,1421,=+V15-T15,101784,630,80,=+Z15-W15-X15,136965,311,319,28,1393,64.7,12.8,=100-AE15-AF15,78.1,14.9,=100-AH15-AI15,0,0,0,0,1,0,8428,19826,28254,14447,1047,43894,59388,1443338,507931,56,1951325,291073,701587,490,993150,260011,126439,129070,115485,3575480
Indiana,92677,234936,327613,8989,26980,35969,130626,177392,308018,38619,114821,153440,223303,412328,635631,47608,141801,189409,825,=+V16-T16,73112,313,135,=+Z16-W16-X16,92374,127,186,37,788,59.2,16.3,=100-AE16-AF16,68.7,16.8,=100-AH16-AI16,0,0,0,0,1,0,6646,22606,29252,5537,774,21509,27820,567006,218588,0,785594,201342,214625,510,416477,195916,41838,52231,12687,1504743
Iowa,43819,76501,120320,3325,5805,9130,72276,220044,292320,12509,37006,49515,116095,296545,412640,15834,42811,58645,636,=+V17-T17,103490,147,0,=+Z17-W17-X17,112708,45,102,30,606,68.5,3.3,=100-AE17-AF17,81.8,2.9,=100-AH17-AI17,0,0,0,0,1,0,3406,11958,15364,1554,0,7008,8562,400691,225814,9,626514,100801,317012,25,417838,95273,66895,23439,53258,1283217
Kansas,42397,72203,114600,14987,16041,31028,34629,284369,318998,17531,41016,58547,77026,356572,433598,32518,57057,89575,698,=+V18-T18,123676,173,128,=+Z18-W18-X18,133256,73,100,0,698,62.8,18,=100-AE18-AF18,69.1,25.5,=100-AH18-AI18,0,0,0,0,1,0,2573,10317,12890,2233,905,8135,11273,352267,112971,2,465240,81227,195447,490,277164,183109,275074,44942,142628,1388157
Kentucky,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,"""NA",=#REF!,NA,NA,=#REF!,NA,"""NA",=#REF!,NA,NA,=#REF!,NA,540,=+V19-T19,62493,221,93,=+Z19-W19-X19,72632,85,136,27,513,55.1,23.9,=100-AE19-AF19,68,25.4,=100-AH19-AI19,0,0,0,1,0,0,4737,16656,21393,4384,559,11726,16669,683377,157425,2502,843304,152045,111117,41,263203,88047,109820,103564,143452,1551390
Louisiana,94588,238373,332961,2688,7909,10597,56281,209593,265874,1136,59761,60897,150869,447966,598835,3824,67670,71494,608,=+V20-T20,45833,263,45,=+Z20-W20-X20,59599,87,176,7,601,57,27.1,=100-AE20-AF20,63.8,25,=100-AH20-AI20,0,0,0,1,0,0,4197,12860,17057,3847,488,12463,16798,650766,154691,104,805561,59191,194618,210,254019,85661,116970,107470,107504,1477185
Maine,4420,50380,54800,363,7371,7734,22864,60801,83665,18472,50372,68844,27284,111181,138465,18835,57743,76578,312,=+V21-T21,19927,54,17,=+Z21-W21-X21,22510,1,53,13,299,62.5,26.1,=100-AE21-AF21,74.7,22,=100-AH21-AI21,0,0,0,0,0,1,1725,7239,8964,480,95,2612,3187,143850,15420,446,159716,114900,98260,153,213313,17086,42300,12015,15933,460363
Maryland,79085,154176,233261,6980,84597,91577,113671,124701,238372,6588,2582,9170,192756,278877,471633,13568,87179,100747,227,=+V22-T22,15642,255,224,=+Z22-W22-X22,29313,187,68,123,104,63.7,17.2,=100-AE22-AF22,65.3,33.5,=100-AH22-AI22,0,0,0,1,0,0,2913,9889,12802,9086,3406,16602,29094,511583,232055,14907,758545,149131,200106,0,349237,108364,161614,81688,330508,1789956
Massachusetts,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,162,=+V23-T23,10927,403,199,=+Z23-W23-X23,30563,323,80,59,103,74.8,15.5,=100-AE23-AF23,85.4,11,=100-AH23-AI23,0,0,0,0,0,1,2176,6615,8791,10733,4490,23334,38557,871763,141997,40,1013800,146150,244043,0,390193,214814,177051,174108,245634,2215600
Michigan,261891,64799,326690,44295,9639,53934,71861,162943,234804,13758,26571,40329,333752,227742,561494,58053,36210,94263,741,=+V24-T24,89485,499,221,=+Z24-W24-X24,117659,301,198,92,649,72.2,18.6,=100-AE24-AF24,72.7,19.5,=100-AH24-AI24,0,0,0,0,1,0,5614,25620,31234,12601,3965,36419,52985,546839,276700,31,823570,138763,642977,300,782040,205891,201637,35674,44873,2093685
